,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
35,Shane Vereen\VereSh00,RB,24,2013,NFL,NWE,8,6,2,0,87.50,134.5,140.5,111.0,0,0,0,0,0,44,208,1,47,427,3,1,,,,
36,Stevan Ridley\RidlSt00,RB,24,2013,NFL,NWE,14,11,3,0,117.50,127.5,134.5,122.5,0,0,0,0,0,178,773,7,10,62,0,4,,,,
37,Lamar Miller\MillLa01,RB,22,2013,NFL,MIA,16,8,8,0,97.90,123.9,127.9,110.9,0,0,0,0,0,177,709,2,26,170,0,1,,,,
38,Mike Tolbert\TolbMi00,FB,27,2013,NFL,CAR,16,12,4,0,96.50,123.5,123.5,110.0,0,0,0,0,0,101,361,5,27,184,2,0,,,,
39,LeGarrette Blount\BlouLe00,RB,26,2013,NFL,NWE,16,12,4,0,119.00,121.0,126.0,120.0,0,0,0,0,0,153,772,7,2,38,0,3,,,,
40,BenJarvus Green-Ellis\GreeBe00,HB,28,2013,NFL,CIN,16,11,5,0,115.80,119.8,121.8,117.8,0,0,0,0,0,220,756,7,4,22,0,2,,,,
41,Chris Ogbonnaya\OgboCh00,RB,27,2013,NFL,CLE,16,4,12,0,66.30,114.3,116.3,90.3,0,0,0,0,0,49,240,0,48,343,2,2,,,,
42,Marcel Reece\ReecMa00,FB,28,2013,NFL,RAI,16,4,12,0,79.98,111.8,114.8,95.8,1,1,22,0,0,46,218,2,32,331,2,0,,,,
43,Bobby Rainey\RainBo00,RB,25,2013,NFL,TOT,15,7,8,0,95.20,110.2,117.2,102.7,0,1,0,0,0,150,566,5,15,46,1,1,,,,
44,Arian Foster\FostAr00,RB,27,2013,NFL,HTX,8,2,6,0,86.50,108.5,114.5,97.5,0,0,0,0,0,121,542,1,22,183,1,0,,,,
45,Montee Ball\BallMo00,RB,22,2013,NFL,DEN,16,13,3,0,88.40,108.4,114.4,98.4,0,0,0,0,0,120,559,4,20,145,0,3,,,,
46,Roy Helu\HeluRo00,RB,24,2013,NFL,WAS,16,3,13,0,76.50,107.5,107.5,92.0,0,0,0,0,0,62,274,4,31,251,0,2,,,,
47,Chris Ivory\IvorCh00,RB,25,2013,NFL,NYJ,15,8,7,0,102.30,104.3,113.3,103.3,0,0,0,0,0,182,833,3,2,10,0,2,,,,
48,Darren McFadden\McFaDa00,RB,26,2013,NFL,RAI,10,2,8,0,81.34,98.3,102.3,89.8,1,1,16,1,0,114,379,5,17,108,0,1,,,,
49,Daniel Thomas\ThomDa03,RB,25,2013,NFL,MIA,15,7,8,0,83.10,97.9,100.9,90.4,0,0,0,0,0,109,406,4,15,63,2,0,,,,
50,Andre Brown\BrowAn03,RB,26,2013,NFL,NYG,8,5,3,0,73.50,93.5,102.5,83.5,0,0,0,0,0,139,492,3,20,103,0,3,,,,
51,James Starks\StarJa00,RB,27,2013,NFL,GNB,13,5,7,1,82.30,92.2,95.2,87.2,0,0,0,0,0,89,493,3,10,89,1,1,,,,
52,Jason Snelling\SnelJa00,RB,29,2013,NFL,ATL,14,4,10,0,62.00,91.0,91.0,76.5,0,0,0,0,0,44,164,1,29,216,3,0,,,,
53,Bernard Pierce\PierBe00,RB,22,2013,NFL,RAV,16,8,8,0,66.00,86.0,86.0,76.0,0,0,0,0,0,152,436,2,20,104,0,0,,,,
54,Brandon Bolden\BoldBr00,RB,23,2013,NFL,NWE,12,9,3,0,60.30,81.3,81.3,70.8,0,0,0,0,0,55,271,3,21,152,0,0,,,,
55,Knile Davis\DaviKn00,RB,21,2013,NFL,KAN,16,11,5,0,59.80,70.7,71.7,65.2,0,0,0,0,0,70,242,4,11,75,0,3,,,,
56,Jordan Todman\TodmJo00,RB,23,2013,NFL,JAX,16,4,12,0,55.20,69.2,72.2,62.2,0,0,0,0,0,76,256,2,14,116,1,0,,,,
57,Doug Martin\MartDo00,RB,24,2013,NFL,TAM,6,0,6,0,56.20,68.2,72.2,62.2,0,0,0,0,0,127,456,1,12,66,0,2,,,,
58,Brian Leonard\LeonBr00,RB,29,2013,NFL,TAM,16,4,12,0,36.10,65.1,65.1,50.6,0,0,0,0,0,47,182,0,29,179,0,0,,,,
59,Shonn Greene\GreeSh00,RB,28,2013,NFL,OTI,11,5,6,0,57.40,63.4,63.4,60.4,0,0,0,0,0,77,295,4,6,39,0,0,,,,
60,Bryce Brown\BrowBr02,RB,22,2013,NFL,PHI,16,10,6,0,53.80,61.8,64.8,57.8,0,0,0,0,0,75,314,2,8,84,0,0,,,,
61,Toby Gerhart\GerhTo00,RB,26,2013,NFL,MIN,14,3,10,1,47.10,60.1,61.1,53.6,0,0,0,0,0,36,283,2,13,88,0,1,,,,
62,Mark Ingram\IngrMa01,RB,23,2013,NFL,NOR,11,7,4,0,51.40,58.4,61.4,54.9,0,0,0,0,0,78,386,1,7,68,0,0,,,,
63,Willis McGahee\McGaWi00,RB,31,2013,NFL,CLE,12,4,8,0,49.70,57.7,58.7,53.7,0,0,0,0,0,138,377,2,8,20,0,1,,,,
64,Peyton Hillis\HillPe00,RB,27,2013,NFL,NYG,7,5,2,0,44.30,57.3,58.3,50.8,0,0,0,0,0,73,247,2,13,96,0,2,,,,
65,Fozzy Whittaker\WhitFo00,RB,24,2013,NFL,TOT,14,2,12,0,35.40,56.4,56.4,45.9,0,0,0,0,0,28,79,0,21,155,2,1,,,,
66,Kendall Hunter\HuntKe00,RB,24,2013,NFL,SFO,16,12,4,0,53.80,55.1,62.1,60.1,0,0,0,0,0,78,358,3,2,13,0,1,,,,
67,Michael Bush\BushMi00,RB,29,2013,NFL,CHI,15,8,7,0,48.50,52.5,52.5,50.5,0,0,0,0,0,63,197,3,4,48,1,0,,,,
68,Bruce Miller\MillBr02,FB,26,2013,NFL,SFO,14,10,4,0,25.60,50.6,50.6,38.1,0,0,0,0,0,7,13,0,25,243,0,1,,,,
69,Ronnie Hillman\HillRo00,RB,21,2013,NFL,DEN,10,9,1,0,37.70,49.7,50.7,43.7,0,0,0,0,0,55,218,1,12,119,0,2,,,,
70,Brandon Jacobs\JacoBr00,RB,31,2013,NFL,NYG,7,1,6,0,47.10,49.1,53.1,48.1,0,0,0,0,0,58,238,4,2,13,0,1,,,,
71,Mike James\JameMi00,RB,22,2013,NFL,TAM,8,1,7,0,37.88,47.9,50.9,42.9,1,1,2,1,0,60,295,0,10,43,0,0,,,,
72,Daryl Richardson\RichDa00,RB,23,2013,NFL,RAM,8,3,5,0,33.60,47.6,47.6,40.6,0,0,0,0,0,69,215,0,14,121,0,0,,,,
73,Benny Cunningham\CunnBe01,RB,23,2013,NFL,RAM,14,7,7,0,38.20,44.0,48.0,41.0,0,0,0,0,0,47,261,1,6,59,0,2,,,,
74,Edwin Baker\BakeEd01,RB,22,2013,NFL,CLE,3,0,3,0,34.80,42.8,42.8,38.8,0,0,0,0,0,43,171,2,8,57,0,0,,,,
75,Joseph Randle\RandJo01,RB,21,2013,NFL,DAL,13,6,7,0,34.50,42.5,42.5,38.5,0,0,0,0,0,54,164,2,8,61,0,0,,,,
76,Ahmad Bradshaw\BradAh00,RB,27,2013,NFL,CLT,3,2,1,0,34.80,41.8,41.8,38.3,0,0,0,0,0,41,186,2,7,42,0,0,,,,
77,Darrel Young\YounDa01,FB,26,2013,NFL,WAS,13,3,10,0,35.20,39.2,39.2,37.2,0,0,0,0,0,12,41,3,4,71,1,0,,,,
78,Matt Asiata\AsiaMa00,RB,26,2013,NFL,MIN,11,4,6,1,33.90,38.9,42.9,36.4,0,0,0,0,0,44,166,3,5,13,0,1,,,,
79,Robert Turbin\TurbRo00,RB,23,2013,NFL,SEA,16,13,3,0,30.40,38.4,39.4,34.4,0,0,0,0,0,77,264,0,8,60,0,1,,,,
80,Chris Polk\PolkCh00,RB,23,2013,NFL,PHI,15,10,5,0,33.90,37.9,37.9,35.9,0,0,0,0,0,11,98,3,4,61,0,0,,,,
81,Anthony Sherman\SherAn00,FB,24,2013,NFL,KAN,16,11,5,0,19.80,37.8,38.8,28.8,0,0,0,0,0,2,3,0,18,155,1,1,,,,
82,Stanley Havili\HaviSt00,FB,25,2013,NFL,CLT,13,9,4,0,19.50,37.5,37.5,28.5,0,0,0,0,0,7,7,0,18,128,1,0,,,,
83,Ronnie Brown\BrowRo05,RB,31,2013,NFL,SDG,16,9,7,0,27.70,35.7,35.7,31.7,0,0,0,0,0,45,157,1,8,60,0,0,,,,
84,Da'Rel Scott\ScotDa01,RB,25,2013,NFL,NYG,5,0,5,0,23.50,34.5,34.5,29.0,0,0,0,0,0,20,73,0,11,102,1,0,,,,
85,Jonathan Dwyer\DwyeJo00,RB,24,2013,NFL,PIT,15,8,7,0,26.10,34.1,34.1,30.1,0,0,0,0,0,49,197,0,8,64,0,0,,,,
86,Felix Jones\JoneFe00,RB,26,2013,NFL,PIT,16,8,8,0,22.70,31.7,32.7,27.2,0,0,0,0,0,48,184,0,9,63,0,1,,,,
87,Frank Summers\SummFr00,FB,28,2013,NFL,BUF,15,6,9,0,24.50,31.5,31.5,28.0,0,0,0,0,0,12,46,1,7,79,1,0,,,,
88,Dennis Johnson\JohnDe02,RB,23,2013,NFL,HTX,8,0,8,0,22.90,30.9,30.9,26.9,0,0,0,0,0,49,183,0,8,46,0,0,,,,
89,Jed Collins\CollJe01,FB,27,2013,NFL,NOR,16,11,5,0,15.90,29.9,29.9,22.9,0,0,0,0,0,15,45,1,14,54,0,0,,,,
90,Antone Smith\SmitAn01,RB,27,2013,NFL,ATL,15,3,12,0,27.50,29.5,29.5,28.5,0,0,0,0,0,5,145,2,2,10,0,0,,,,
91,Jonathan Stewart\StewJo00,RB,26,2013,NFL,CAR,6,5,1,0,22.40,29.4,29.4,25.9,0,0,0,0,0,48,180,0,7,44,0,1,,,,
92,John Kuhn\KuhnJo00,FB,30,2013,NFL,GNB,15,8,6,1,16.00,28.9,29.9,22.4,0,0,0,0,0,10,38,1,13,81,0,1,,,,
93,Khiry Robinson\RobiKh00,RB,23,2013,NFL,NOR,10,7,3,0,28.40,28.4,28.4,28.4,0,0,0,0,0,54,224,1,0,0,0,0,,,,
94,Jackie Battle\BattJa00,RB,29,2013,NFL,OTI,16,7,9,0,23.80,27.8,27.8,25.8,0,0,0,0,0,36,142,1,4,36,0,0,,,,
95,Stepfan Taylor\TaylSt00,RB,22,2013,NFL,CRD,16,10,6,0,18.60,26.6,26.6,22.6,0,0,0,0,0,36,115,0,8,71,0,0,,,,
96,Justin Forsett\ForsJu00,RB,27,2013,NFL,JAX,9,1,8,0,11.30,26.3,26.3,18.8,0,0,0,0,0,6,31,0,15,82,0,1,,,,
97,Alfonso Smith\SmitAl22,RB,26,2013,NFL,CRD,16,10,6,0,16.20,26.2,27.2,21.2,0,0,0,0,0,18,54,1,10,68,0,2,,,,
98,Lance Dunbar\DunbLa00,RB,23,2013,NFL,DAL,9,4,5,0,18.90,25.9,26.9,22.4,0,0,0,0,0,30,150,0,7,59,0,1,,,,
99,Marcus Thigpen\ThigMa00,RB,27,2013,NFL,MIA,16,8,8,0,17.60,25.5,25.5,21.5,0,0,0,0,0,6,18,0,8,97,1,3,,,,
100,Jonathan Grimes\GrimJo01,RB,24,2013,NFL,HTX,2,0,2,0,18.90,24.9,25.9,21.9,0,0,0,0,0,21,73,1,6,76,0,1,,,,
