,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Antonio Brown\BrowAn04,WR,26,2014,NFL,PIT,16,11,5,0,257.90,386.9,412.9,322.4,2,2,20,1,0,4,13,0,129,1698,13,2,,,,
2,Demaryius Thomas\ThomDe03,WR,26,2014,NFL,DEN,16,12,4,0,229.90,340.9,370.9,285.4,0,0,0,0,0,0,0,0,111,1619,11,0,,,,
3,Jordy Nelson\NelsJo00,WR,29,2014,NFL,GNB,16,12,4,0,229.90,327.9,348.9,278.9,0,0,0,0,0,0,0,0,98,1519,13,0,,,,
4,Dez Bryant\BryaDe01,WR,25,2014,NFL,DAL,16,12,4,0,228.00,316.0,328.0,272.0,0,0,0,0,0,0,0,0,88,1320,16,0,,,,
5,Emmanuel Sanders\SandEm00,WR,27,2014,NFL,DEN,16,12,4,0,200.80,301.8,322.8,251.3,0,0,0,0,0,8,44,0,101,1404,9,1,,,,
6,Julio Jones\JoneJu02,WR,25,2014,NFL,ATL,15,6,9,0,193.40,297.4,319.4,245.4,0,0,0,0,0,1,1,0,104,1593,6,2,,,,
7,Odell Beckham\BeckOd00,WR,21,2014,NFL,NYG,12,4,8,0,204.00,295.0,317.0,249.5,0,1,0,0,0,7,35,0,91,1305,12,1,,,,
8,Randall Cobb\CobbRa00,WR,24,2014,NFL,GNB,16,12,4,0,202.40,293.4,310.4,247.9,0,0,0,0,0,11,37,0,91,1287,12,3,,,,
9,Jeremy Maclin\MaclJe00,WR,26,2014,NFL,PHI,16,10,6,0,191.80,276.8,288.8,234.3,0,0,0,0,0,0,0,0,85,1318,10,0,,,,
10,Alshon Jeffery\JeffAl00,WR,24,2014,NFL,CHI,16,5,11,0,176.60,261.6,270.6,219.1,0,0,0,0,0,6,33,0,85,1133,10,1,,,,
11,Golden Tate\TateGo00,WR,26,2014,NFL,DET,16,11,5,0,160.10,259.1,274.1,209.6,0,0,0,0,0,5,30,0,99,1331,4,1,,,,
12,T.Y. Hilton\HiltT.00,WR,24,2014,NFL,CLT,15,11,4,0,176.50,258.5,277.5,217.5,0,0,0,0,0,2,20,0,82,1345,7,3,,,,
13,Mike Evans\EvanMi00,WR,21,2014,NFL,TAM,15,2,13,0,177.10,245.1,254.1,211.1,0,0,0,0,0,0,0,0,68,1051,12,0,,,,
14,DeAndre Hopkins\HopkDe00,WR,22,2014,NFL,HTX,16,9,7,0,155.00,231.0,244.0,193.0,0,0,0,0,0,0,0,0,76,1210,6,2,,,,
15,Julian Edelman\EdelJu00,WR,28,2014,NFL,NWE,14,11,3,0,136.60,228.6,231.6,182.6,0,0,0,0,0,10,94,0,92,972,4,3,,,,
16,Calvin Johnson\JohnCa00,WR,28,2014,NFL,DET,13,8,5,0,155.70,226.7,241.7,191.2,0,0,0,0,0,0,0,0,71,1077,8,0,,,,
17,Kelvin Benjamin\BenjKe00,WR,23,2014,NFL,CAR,16,7,8,1,152.80,225.8,235.8,189.3,0,0,0,0,0,0,0,0,73,1008,9,1,,,,
18,Anquan Boldin\BoldAn00,WR,33,2014,NFL,SFO,16,8,8,0,136.60,219.6,222.6,178.1,0,1,0,0,0,1,4,0,83,1062,5,0,,,,
19,Steve Smith\SmitSt01,WR,35,2014,NFL,RAV,16,10,6,0,140.50,219.5,232.5,180.0,0,0,0,0,0,0,0,0,79,1065,6,1,,,,
20,Mike Wallace\WallMi00,WR,28,2014,NFL,MIA,16,8,8,0,145.80,212.8,216.8,179.3,0,1,0,0,0,4,16,0,67,862,10,2,,,,
21,Roddy White\WhitRo00,WR,32,2014,NFL,ATL,14,4,10,0,132.10,212.1,219.1,172.1,0,0,0,0,0,0,0,0,80,921,7,3,,,,
22,Brandon LaFell\LaFeBr00,WR,27,2014,NFL,NWE,16,12,4,0,136.60,210.6,217.6,173.6,0,0,0,0,0,2,13,0,74,953,7,1,,,,
23,DeSean Jackson\JackDe00,WR,27,2014,NFL,WAS,15,4,11,0,153.60,209.6,227.6,181.6,0,0,0,0,0,4,7,0,56,1169,6,0,,,,
24,A.J. Green\GreeA.00,WR,26,2014,NFL,CIN,13,9,4,0,136.30,205.3,222.3,170.8,0,0,0,0,0,2,2,0,69,1041,6,3,,,,
25,Jordan Matthews\MattJo00,WR,22,2014,NFL,PHI,16,10,6,0,135.20,202.2,211.2,168.7,0,0,0,0,0,0,0,0,67,872,8,0,,,,
26,Eric Decker\DeckEr00,WR,27,2014,NFL,NYJ,15,4,11,0,126.20,200.2,206.2,163.2,0,0,0,0,0,0,0,0,74,962,5,0,,,,
27,Sammy Watkins\WatkSa00,WR,21,2014,NFL,BUF,16,9,7,0,133.00,198.0,211.0,165.5,0,0,0,0,0,2,8,0,65,982,6,1,,,,
28,Torrey Smith\SmitTo02,WR,25,2014,NFL,RAV,16,10,6,0,142.70,191.7,191.7,167.2,0,0,0,0,0,0,0,0,49,767,11,0,,,,
29,Andre Johnson\JohnAn02,WR,33,2014,NFL,HTX,15,9,6,0,105.60,190.6,196.6,148.1,0,0,0,0,0,0,0,0,85,936,3,3,,,,
30,Rueben Randle\RandRu00,WR,23,2014,NFL,NYG,16,6,10,0,111.80,182.8,191.8,147.3,0,0,0,0,0,0,0,0,71,938,3,0,,,,
31,Jarvis Landry\LandJa00,WR,21,2014,NFL,MIA,16,8,8,0,97.40,181.4,185.4,139.4,0,0,0,0,0,2,-4,0,84,758,5,7,,,,
32,Eddie Royal\RoyaEd00,WR,28,2014,NFL,SDG,16,9,7,0,119.20,181.2,185.2,150.2,0,0,0,0,0,3,14,0,62,778,7,1,,,,
33,Vincent Jackson\JackVi00,WR,31,2014,NFL,TAM,16,2,14,0,110.20,180.2,190.2,145.2,0,0,0,0,0,0,0,0,70,1002,2,1,,,,
34,Mohamed Sanu\SanuMo00,WR,25,2014,NFL,CIN,16,10,5,1,123.26,179.3,185.3,151.3,3,3,79,1,0,7,51,0,56,790,5,0,,,,
35,Brandon Marshall\MarsBr00,WR,30,2014,NFL,CHI,13,5,8,0,118.10,179.1,186.1,148.6,0,0,0,0,0,0,0,0,61,721,8,1,,,,
36,Marques Colston\ColsMa00,WR,31,2014,NFL,NOR,16,7,9,0,118.20,177.2,184.2,147.7,0,0,0,0,0,0,0,0,59,902,5,1,,,,
37,Keenan Allen\AlleKe00,WR,22,2014,NFL,SDG,14,8,6,0,98.30,175.3,186.3,136.8,0,0,0,0,0,0,0,0,77,783,4,2,,,,
38,Kenny Stills\StilKe00,WR,22,2014,NFL,NOR,15,7,8,0,110.90,173.9,179.9,142.4,0,0,0,0,0,1,-2,0,63,931,3,1,,,,
39,Malcom Floyd\FloyMa00,WR,33,2014,NFL,SDG,16,9,7,0,121.60,173.6,176.6,147.6,0,0,0,0,0,0,0,0,52,856,6,0,,,,
40,James Jones\JoneJa04,WR,30,2014,NFL,RAI,16,3,13,0,100.60,173.6,177.6,137.1,0,0,0,0,0,0,0,0,73,666,6,3,,,,
41,Greg Jennings\JennGr00,WR,30,2014,NFL,MIN,16,7,9,0,110.20,169.2,169.2,139.7,0,0,0,0,0,0,0,0,59,742,6,1,,,,
42,Kendall Wright\WrigKe01,WR,24,2014,NFL,OTI,14,2,12,0,110.90,167.9,171.9,139.4,0,0,0,0,0,4,54,0,57,715,6,1,,,,
43,Doug Baldwin\BaldDo00,WR,25,2014,NFL,SEA,16,12,4,0,101.30,167.3,173.3,134.3,0,0,0,0,0,1,8,0,66,825,3,0,,,,
44,Michael Floyd\FloyMi00,WR,24,2014,NFL,CRD,16,11,5,0,118.30,165.3,175.3,141.8,0,0,0,0,0,1,2,0,47,841,6,3,,,,
45,Robert Woods\WoodRo02,WR,22,2014,NFL,BUF,16,9,7,0,99.90,164.9,168.9,132.4,0,0,0,0,0,0,0,0,65,699,5,1,,,,
46,Michael Crabtree\CrabMi00,WR,26,2014,NFL,SFO,16,8,8,0,94.20,162.2,162.2,128.2,0,0,0,0,0,1,4,0,68,698,4,0,,,,
47,Pierre Garcon\GarcPi00,WR,28,2014,NFL,WAS,16,4,12,0,93.20,161.2,164.2,127.2,0,1,0,0,0,0,0,0,68,752,3,0,,,,
48,Andrew Hawkins\HawkAn00,WR,28,2014,NFL,CLE,15,6,9,0,95.90,158.9,161.9,127.4,0,0,0,0,0,3,15,0,63,824,2,0,,,,
49,Allen Hurns\HurnAl01,WR,22,2014,NFL,JAX,16,3,13,0,103.70,154.7,160.7,129.2,0,0,0,0,0,0,0,0,51,677,6,0,,,,
50,Reggie Wayne\WaynRe00,WR,35,2014,NFL,CLT,15,11,4,0,87.90,151.9,155.9,119.9,0,0,0,0,0,0,0,0,64,779,2,1,,,,
51,Larry Fitzgerald\FitzLa00,WR,31,2014,NFL,CRD,14,11,3,0,88.40,151.4,158.4,119.9,0,0,0,0,0,0,0,0,63,784,2,1,,,,
52,Terrance Williams\WillTe01,WR,24,2014,NFL,DAL,16,12,4,0,110.10,147.1,147.1,128.6,0,0,0,0,0,0,0,0,37,621,8,0,,,,
53,John Brown\BrowJo02,WR,24,2014,NFL,CRD,16,11,5,0,99.00,147.0,150.0,123.0,0,0,0,0,0,3,-6,0,48,696,5,0,,,,
54,Kenny Britt\BritKe00,WR,25,2014,NFL,RAM,16,6,10,0,94.20,142.2,148.2,118.2,0,0,0,0,0,2,14,0,48,748,3,0,,,,
55,Andre Holmes\HolmAn00,WR,26,2014,NFL,RAI,16,3,13,0,93.30,140.3,143.3,116.8,0,0,0,0,0,0,0,0,47,693,4,0,,,,
56,Brandin Cooks\CookBr00,WR,20,2014,NFL,NOR,10,4,6,0,86.30,139.3,139.3,112.8,0,0,0,0,0,7,73,1,53,550,3,1,,,,
57,Dwayne Bowe\BoweDw00,WR,29,2014,NFL,KAN,15,9,6,0,75.40,135.4,135.4,105.4,0,0,0,0,0,0,0,0,60,754,0,2,,,,
58,Markus Wheaton\WheaMa00,WR,23,2014,NFL,PIT,16,11,5,0,78.30,131.3,131.3,104.8,0,0,0,0,0,4,19,0,53,644,2,0,,,,
59,Martavis Bryant\BryaMa00,WR,22,2014,NFL,PIT,10,8,2,0,104.10,130.1,136.1,117.1,0,0,0,0,0,3,12,0,26,549,8,0,,,,
