,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Michael Thomas\ThomMi05,WR,26,2019,NFL,NOR,16,13,3,0,225.60,374.6,404.6,300.1,0,0,0,0,0,1,-9,0,149,1725,9,1,,,,
2,Chris Godwin\GodwCh00,WR,23,2019,NFL,TAM,14,7,7,0,190.10,276.1,294.1,233.1,0,0,0,0,0,1,8,0,86,1333,9,0,,,,
3,Julio Jones\JoneJu02,WR,30,2019,NFL,ATL,15,7,8,0,175.10,274.1,292.1,224.6,0,0,0,0,0,2,-3,0,99,1394,6,1,,,,
4,Cooper Kupp\KuppCo00,WR,26,2019,NFL,RAM,16,9,7,0,176.50,270.5,285.5,223.5,0,1,0,0,0,2,4,0,94,1161,10,3,,,,
5,DeAndre Hopkins\HopkDe00,WR,27,2019,NFL,HTX,15,10,5,0,164.54,268.5,284.5,217.5,1,2,6,1,1,2,18,0,104,1165,7,0,,,,
6,Keenan Allen\AlleKe00,WR,27,2019,NFL,SDG,16,5,11,0,157.50,261.5,267.5,209.5,0,0,0,0,0,3,16,0,104,1199,6,0,,,,
7,Julian Edelman\EdelJu00,WR,33,2019,NFL,NWE,16,12,4,0,156.28,256.3,266.3,206.3,2,2,47,1,0,8,27,0,100,1117,6,3,,,,
8,Allen Robinson\RobiAl02,WR,26,2019,NFL,CHI,16,8,8,0,156.90,254.9,263.9,205.9,0,0,0,0,0,1,2,0,98,1147,7,0,,,,
9,Kenny Golladay\GollKe00,WR,25,2019,NFL,DET,16,3,12,1,183.00,248.0,264.0,215.5,0,0,0,0,0,0,0,0,65,1190,11,1,,,,
10,Amari Cooper\CoopAm00,WR,25,2019,NFL,DAL,16,8,8,0,167.50,246.5,258.5,207.0,0,0,0,0,0,1,6,0,79,1189,8,0,,,,
11,DeVante Parker\ParkDe01,WR,26,2019,NFL,MIA,16,5,11,0,174.20,246.2,258.2,210.2,0,0,0,0,0,0,0,0,72,1202,9,0,,,,
12,Jarvis Landry\LandJa00,WR,26,2019,NFL,CLE,16,6,10,0,154.40,237.4,243.4,195.9,0,0,0,0,0,1,10,0,83,1174,6,0,,,,
13,Tyler Lockett\LockTy00,WR,26,2019,NFL,SEA,16,11,5,0,153.20,235.2,247.2,194.2,0,0,0,0,0,4,-5,0,82,1057,8,1,,,,
14,Robert Woods\WoodRo02,WR,27,2019,NFL,RAM,15,8,7,0,142.90,232.9,241.9,187.9,0,0,0,0,0,17,115,1,90,1134,2,0,,,,
15,Mike Evans\EvanMi00,WR,26,2019,NFL,TAM,13,6,7,0,165.70,232.7,241.7,199.2,0,0,0,0,0,0,0,0,67,1157,8,0,,,,
16,D.J. Moore\MoorD.00,WR,22,2019,NFL,CAR,15,5,10,0,143.50,230.5,243.5,187.0,0,0,0,0,0,6,40,0,87,1175,4,2,,,,
17,DJ Chark\CharDJ00,WR,22,2019,NFL,JAX,15,5,10,0,152.80,225.8,234.8,189.3,0,0,0,0,0,2,20,0,73,1008,8,0,,,,
18,Tyler Boyd\BoydTy00,WR,24,2019,NFL,CIN,16,2,14,0,132.90,222.9,236.9,177.9,0,0,0,0,0,4,23,0,90,1046,5,2,,,,
19,Courtland Sutton\SuttCo00,WR,23,2019,NFL,DEN,16,7,9,0,150.42,222.4,228.4,186.4,1,1,38,0,0,3,17,0,72,1112,6,2,,,,
20,John Brown\BrowJo02,WR,29,2019,NFL,BUF,15,10,5,0,147.82,219.8,225.8,183.8,1,1,28,1,0,2,7,0,72,1060,6,0,,,,
21,A.J. Brown\BrowAJ00,WR,22,2019,NFL,OTI,16,9,7,0,165.10,217.1,232.1,191.1,0,0,0,0,0,3,60,1,52,1051,8,1,,,,
22,Davante Adams\AdamDa01,WR,26,2019,NFL,GNB,12,9,3,0,129.70,212.7,228.7,171.2,0,0,0,0,0,0,0,0,83,997,5,2,,,,
23,Michael Gallup\GallMi00,WR,23,2019,NFL,DAL,14,7,7,0,146.70,212.7,224.7,179.7,0,0,0,0,0,0,0,0,66,1107,6,0,,,,
24,Stefon Diggs\DiggSt00,WR,25,2019,NFL,MIN,15,10,5,0,149.10,212.1,230.1,180.6,0,1,0,0,0,5,61,0,63,1130,6,4,,,,
25,Odell Beckham\BeckOd00,WR,26,2019,NFL,CLE,16,6,10,0,127.30,201.3,208.3,164.3,1,2,20,0,0,3,10,0,74,1035,4,1,,,,
26,Jamison Crowder\CrowJa00,WR,26,2019,NFL,NYJ,16,7,9,0,119.70,197.7,197.7,158.7,0,0,0,0,0,1,4,0,78,833,6,0,,,,
27,Calvin Ridley\RidlCa00,WR,24,2019,NFL,ATL,13,4,9,0,134.00,197.0,203.0,165.5,0,0,0,0,0,2,34,0,63,866,7,0,,,,
28,Marvin Jones\JoneMa02,WR,29,2019,NFL,DET,13,3,9,1,131.90,193.9,199.9,162.9,0,0,0,0,0,2,0,0,62,779,9,0,,,,
29,Terry McLaurin\McLaTe00,WR,23,2019,NFL,WAS,14,3,11,0,133.90,191.9,200.9,162.9,0,0,0,0,0,0,0,0,58,919,7,0,,,,
30,Emmanuel Sanders\SandEm00,WR,32,2019,NFL,TOT,17,9,8,0,124.30,190.3,199.3,157.3,1,1,35,1,0,0,0,0,66,869,5,0,,,,
31,Deebo Samuel\SamuDe00,WR,23,2019,NFL,SFO,15,12,3,0,132.10,189.1,199.1,160.6,0,0,0,0,0,14,159,3,57,802,3,2,,,,
32,Tyreek Hill\HillTy00,WR,25,2019,NFL,KAN,12,9,3,0,130.30,188.3,194.3,159.3,0,0,0,0,0,8,23,0,58,860,7,0,,,,
33,D.K. Metcalf\MetcDK00,WR,21,2019,NFL,SEA,16,11,5,0,129.10,187.1,193.1,158.1,0,0,0,0,0,2,11,0,58,900,7,3,,,,
34,Cole Beasley\BeasCo00,WR,30,2019,NFL,BUF,15,10,5,0,117.80,184.8,190.8,151.3,0,0,0,0,0,0,0,0,67,778,6,0,,,,
35,Larry Fitzgerald\FitzLa00,WR,36,2019,NFL,CRD,16,5,10,1,102.40,177.4,184.4,139.9,0,0,0,0,0,0,0,0,75,804,4,1,,,,
36,Curtis Samuel\SamuCu00,WR,23,2019,NFL,CAR,16,5,11,0,117.70,171.7,171.7,144.7,0,0,0,0,0,19,130,1,54,627,6,0,,,,
37,Darius Slayton\SlayDa01,WR,22,2019,NFL,NYG,14,4,10,0,122.00,170.0,176.0,146.0,0,0,0,0,0,0,0,0,48,740,8,0,,,,
38,Christian Kirk\KirkCh01,WR,22,2019,NFL,CRD,13,2,10,1,100.20,168.2,174.2,134.2,0,0,0,0,0,10,93,0,68,709,3,0,,,,
39,Diontae Johnson\JohnDi01,WR,23,2019,NFL,PIT,16,8,8,0,104.10,163.1,165.1,133.6,0,0,0,0,0,4,41,0,59,680,5,5,,,,
40,Robby Anderson\AndeRo04,WR,26,2019,NFL,NYJ,16,7,9,0,110.30,162.3,171.3,136.3,0,0,0,0,0,1,4,0,52,779,5,1,,,,
41,Mike Williams\WillMi07,WR,24,2019,NFL,SDG,15,4,11,0,112.30,161.3,167.3,136.8,0,0,0,0,0,1,2,0,49,1001,2,0,,,,
