,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Devonta Freeman\FreeDe00,RB,23,2015,NFL,ATL,15,8,7,0,243.40,316.4,330.4,279.9,0,0,0,0,0,265,1056,11,73,578,3,3,,,,
2,Adrian Peterson\PeteAd01,RB,30,2015,NFL,MIN,16,11,5,0,230.70,260.7,284.7,245.7,0,0,0,0,0,327,1485,11,30,222,0,7,,,,
3,Danny Woodhead\WoodDa02,RB,30,2015,NFL,SDG,16,4,12,0,163.10,243.1,243.1,203.1,0,0,0,0,0,98,336,3,80,755,6,0,,,,
4,Doug Martin\MartDo00,RB,26,2015,NFL,TAM,16,6,10,0,199.30,232.3,249.3,215.8,0,0,0,0,0,288,1402,6,33,271,1,5,,,,
5,Lamar Miller\MillLa01,RB,24,2015,NFL,MIA,16,6,10,0,184.90,231.9,241.9,208.4,0,0,0,0,0,194,872,8,47,397,2,1,,,,
6,DeAngelo Williams\WillDe02,RB,32,2015,NFL,PIT,16,10,6,0,191.50,231.4,245.4,211.4,0,0,0,0,0,200,907,11,40,367,0,4,,,,
7,David Johnson\JohnDa08,RB,23,2015,NFL,CRD,16,13,3,0,179.80,215.8,219.8,197.8,0,0,0,0,0,125,581,8,36,457,4,4,,,,
8,Matt Forte\FortMa00,RB,29,2015,NFL,CHI,13,4,9,0,170.70,214.7,218.7,192.7,0,0,0,0,0,218,898,4,44,389,3,2,,,,
9,Todd Gurley\GurlTo01,RB,21,2015,NFL,RAM,13,6,7,0,187.40,208.4,224.4,197.9,0,0,0,0,0,229,1106,10,21,188,0,3,,,,
10,Latavius Murray\MurrLa00,RB,25,2015,NFL,RAI,16,7,9,0,163.80,204.8,211.8,184.3,0,0,0,0,0,266,1066,6,41,232,0,4,,,,
11,Mark Ingram\IngrMa01,RB,25,2015,NFL,NOR,12,4,8,0,153.40,203.4,207.4,178.4,0,0,0,0,0,166,769,6,50,405,0,2,,,,
12,Chris Ivory\IvorCh00,RB,27,2015,NFL,NYJ,15,10,5,0,172.70,202.7,213.7,187.7,0,0,0,0,0,247,1070,7,30,217,1,4,,,,
13,Darren McFadden\McFaDa00,RB,28,2015,NFL,DAL,16,4,12,0,155.70,195.7,213.7,175.7,0,1,0,0,0,239,1089,3,40,328,0,3,,,,
14,Frank Gore\GoreFr00,RB,32,2015,NFL,CLT,16,8,8,0,159.40,193.4,196.4,176.4,0,0,0,0,0,260,967,6,34,267,1,4,,,,
15,DeMarco Murray\MurrDe00,RB,27,2015,NFL,PHI,15,6,9,0,140.40,184.4,189.4,162.4,0,0,0,0,0,193,702,6,44,322,1,2,,,,
16,Giovani Bernard\BernGi00,HB,23,2015,NFL,CIN,16,12,4,0,132.20,181.2,187.2,156.7,0,0,0,0,0,154,730,2,49,472,0,1,,,,
17,Charles Sims\SimsCh00,RB,24,2015,NFL,TAM,16,6,10,0,129.00,180.0,182.0,154.5,0,0,0,0,0,107,529,0,51,561,4,2,,,,
18,Theo Riddick\RiddTh00,RB,24,2015,NFL,DET,16,7,9,0,99.00,179.0,180.0,139.0,0,0,0,0,0,43,133,0,80,697,3,1,,,,
19,LeSean McCoy\McCoLe01,RB,27,2015,NFL,BUF,12,5,7,0,146.70,178.7,189.7,162.7,0,0,0,0,0,203,895,3,32,292,2,2,,,,
20,Jeremy Hill\HillJe01,HB,22,2015,NFL,CIN,16,12,4,0,155.30,170.3,173.3,162.8,0,0,0,0,0,223,794,11,15,79,1,3,,,,
21,James Starks\StarJa00,RB,29,2015,NFL,GNB,16,10,6,0,123.30,166.3,172.3,144.8,0,0,0,0,0,148,601,2,43,392,3,5,,,,
22,Rashad Jennings\JennRa00,RB,30,2015,NFL,NYG,16,6,10,0,135.90,164.9,172.9,150.4,0,0,0,0,0,195,863,3,29,296,1,2,,,,
23,Duke Johnson\JohnDu00,RB,21,2015,NFL,CLE,16,3,13,0,103.30,164.3,164.3,133.8,0,0,0,0,0,104,379,0,61,534,2,1,,,,
24,Jonathan Stewart\StewJo00,RB,28,2015,NFL,CAR,13,13,0,0,146.80,162.8,170.8,154.8,0,0,0,0,0,242,989,6,16,99,1,3,,,,
25,Darren Sproles\SproDa00,RB,32,2015,NFL,PHI,16,7,9,0,106.50,161.5,161.5,134.0,0,0,0,0,0,83,317,3,55,388,1,1,,,,
26,Ronnie Hillman\HillRo00,RB,23,2015,NFL,DEN,16,12,4,0,137.40,161.4,174.4,149.4,0,0,0,0,0,207,863,7,24,111,0,3,,,,
27,Shane Vereen\VereSh00,RB,26,2015,NFL,NYG,16,6,10,0,99.50,158.5,158.5,129.0,0,0,0,0,0,61,260,0,59,495,4,1,,,,
28,T.J. Yeldon\YeldT.00,RB,21,2015,NFL,JAX,12,5,7,0,119.90,155.9,161.9,137.9,0,0,0,0,0,182,740,2,36,279,1,0,,,,
29,Jeremy Langford\LangJe00,RB,23,2015,NFL,CHI,16,6,10,0,125.60,147.6,150.6,136.6,0,0,0,0,0,148,537,6,22,279,1,0,,,,
30,Javorius Allen\AlleJa01,RB,24,2015,NFL,RAV,16,5,11,0,100.70,145.7,150.7,123.2,0,0,0,0,0,137,514,1,45,353,2,2,,,,
31,C.J. Anderson\AndeC.00,RB,24,2015,NFL,DEN,15,12,3,0,116.30,141.3,149.3,128.8,0,0,0,0,0,152,720,5,25,183,0,2,,,,
32,Eddie Lacy\LacyEd00,RB,25,2015,NFL,GNB,15,10,5,0,120.60,140.6,151.6,130.6,0,0,0,0,0,187,758,3,20,188,2,4,,,,
33,Isaiah Crowell\CrowIs00,RB,22,2015,NFL,CLE,16,3,13,0,118.90,137.8,140.8,128.3,0,0,0,0,0,185,706,4,19,182,1,0,,,,
34,Bilal Powell\PoweBi00,RB,26,2015,NFL,NYJ,11,9,2,0,88.20,135.1,135.1,111.6,0,0,0,0,0,70,313,1,47,388,2,2,,,,
35,Charcandrick West\WestCh01,RB,24,2015,NFL,KAN,15,10,5,0,112.80,132.8,136.8,122.8,0,0,0,0,0,160,634,4,20,214,1,1,,,,
36,Thomas Rawls\RawlTh00,RB,22,2015,NFL,SEA,13,8,5,0,118.60,127.6,140.6,123.1,0,0,0,0,0,147,830,4,9,76,1,1,,,,
37,Ryan Mathews\MathRy00,RB,27,2015,NFL,PHI,13,6,7,0,104.50,124.5,130.5,114.5,0,0,0,0,0,106,539,6,20,146,1,3,,,,
38,Karlos Williams\WillKa01,RB,22,2015,NFL,BUF,11,6,5,0,113.30,124.3,131.3,118.8,0,0,0,0,0,93,517,7,11,96,2,2,,,,
39,LeGarrette Blount\BlouLe00,RB,28,2015,NFL,NWE,12,10,2,0,116.90,122.6,125.6,119.6,0,0,0,0,0,165,703,6,6,43,1,1,,,,
40,James White\WhitJa02,RB,23,2015,NFL,NWE,14,10,4,0,82.60,122.6,125.6,102.6,0,0,0,0,0,22,56,2,40,410,4,0,,,,
41,Justin Forsett\ForsJu00,RB,29,2015,NFL,RAV,10,3,7,0,91.40,122.4,128.4,106.9,0,0,0,0,0,151,641,2,31,153,0,0,,,,
42,Dion Lewis\LewiDi00,RB,24,2015,NFL,NWE,7,7,0,0,84.20,120.2,121.2,102.2,0,0,0,0,0,49,234,2,36,388,2,2,,,,
43,Ameer Abdullah\AbduAm00,RB,22,2015,NFL,DET,16,7,9,0,92.00,117.0,119.0,104.5,0,0,0,0,0,143,597,2,25,183,1,5,,,,
44,Matt Jones\JoneMa04,RB,22,2015,NFL,WAS,13,7,6,0,95.40,114.4,124.4,104.9,0,0,0,0,0,144,490,3,19,304,1,5,,,,
45,Antonio Andrews\AndrAn00,RB,23,2015,NFL,OTI,14,2,12,0,91.04,112.0,113.0,101.5,1,1,41,1,0,143,520,3,21,174,0,1,,,,
46,Alfred Blue\BlueAl00,RB,24,2015,NFL,HTX,15,8,7,0,96.70,111.7,121.7,104.2,0,0,0,0,0,183,698,2,15,109,1,2,,,,
47,Le'Veon Bell\BellLe00,RB,23,2015,NFL,PIT,6,3,3,0,87.20,111.2,120.2,99.2,0,0,0,0,0,113,556,3,24,136,0,0,,,,
48,Melvin Gordon\GordMe00,RB,22,2015,NFL,SDG,14,4,10,0,75.30,108.3,112.3,91.8,0,0,0,0,0,184,641,0,33,192,0,6,,,,
49,Chris Johnson\JohnCh04,RB,29,2015,NFL,CRD,11,9,2,0,101.20,107.2,121.2,104.2,0,0,0,0,0,196,814,3,6,58,0,2,,,,
50,Joique Bell\BellJo01,RB,29,2015,NFL,DET,13,6,7,0,83.70,105.7,105.7,94.7,0,0,0,0,0,90,311,4,22,286,0,1,,,,
51,Jamaal Charles\CharJa00,RB,28,2015,NFL,KAN,5,1,4,0,80.10,101.1,106.1,90.6,0,0,0,0,0,71,364,4,21,177,1,2,,,,
52,Kyle Juszczyk\JuszKy00,FB,24,2015,NFL,RAV,16,5,11,0,56.60,97.4,97.4,76.9,0,0,0,0,0,2,3,0,41,321,4,0,,,,
53,Alfred Morris\MorrAl00,RB,26,2015,NFL,WAS,16,9,7,0,86.60,96.6,102.6,91.6,0,0,0,0,0,202,751,1,10,55,0,0,,,,
54,Chris Thompson\ThomCh03,RB,24,2015,NFL,WAS,13,6,7,0,57.60,92.6,92.6,75.1,0,0,0,0,0,35,216,0,35,240,2,2,,,,
55,Dexter McCluster\McClDe00,RB,26,2015,NFL,OTI,12,2,10,0,60.70,91.7,93.7,76.2,0,0,0,0,0,55,247,1,31,260,1,2,,,,
56,Tim Hightower\HighTi00,RB,29,2015,NFL,NOR,8,3,5,0,74.40,86.4,89.4,80.4,0,0,0,0,0,96,375,4,12,129,0,0,,,,
57,Jonathan Grimes\GrimJo01,RB,25,2015,NFL,HTX,14,9,5,0,59.50,85.5,85.5,72.5,0,1,0,0,0,56,282,1,26,173,1,0,,,,
58,Jerick McKinnon\McKiJe00,RB,23,2015,NFL,MIN,16,11,5,0,62.40,83.4,83.4,72.9,0,0,0,0,0,52,271,2,21,173,1,0,,,,
59,Mike Tolbert\TolbMi00,FB,29,2015,NFL,CAR,16,15,1,0,65.00,83.0,83.0,74.0,0,0,0,0,0,62,256,1,18,154,3,0,,,,
60,Spencer Ware\WareSp00,RB,23,2015,NFL,KAN,11,10,1,0,76.80,82.8,85.8,79.8,0,0,0,0,0,72,403,6,6,5,0,0,,,,
61,Marshawn Lynch\LyncMa00,RB,29,2015,NFL,SEA,7,3,4,0,69.70,82.7,85.7,76.2,0,0,0,0,0,111,417,3,13,80,0,0,,,,
62,Carlos Hyde\HydeCa00,RB,24,2015,NFL,SFO,7,2,5,0,70.30,81.3,84.3,75.8,0,0,0,0,0,115,470,3,11,53,0,1,,,,
63,C.J. Spiller\SpilC.00,RB,28,2015,NFL,NOR,13,5,8,0,47.10,81.1,81.1,64.1,0,0,0,0,0,36,112,0,34,239,2,1,,,,
64,Marcel Reece\ReecMa00,FB,30,2015,NFL,RAI,15,7,8,0,48.50,78.5,78.5,63.5,0,0,0,0,0,10,36,0,30,269,3,0,,,,
65,Shaun Draughn\DrauSh00,RB,27,2015,NFL,TOT,11,3,8,0,50.90,77.9,77.9,64.4,0,0,0,0,0,78,273,1,27,176,0,1,,,,
66,Fred Jackson\JackFr02,RB,34,2015,NFL,SEA,16,10,6,0,45.70,77.7,78.7,61.7,0,0,0,0,0,26,100,0,32,257,2,1,,,,
67,Arian Foster\FostAr00,RB,29,2015,NFL,HTX,4,1,3,0,55.00,77.0,78.0,66.0,0,0,0,0,0,63,163,1,22,227,2,2,,,,
68,Andre Ellington\ElliAn00,RB,26,2015,NFL,CRD,10,8,2,0,59.70,74.7,75.7,67.2,0,0,0,0,0,45,289,3,15,148,0,1,,,,
69,Joseph Randle\RandJo01,RB,23,2015,NFL,DAL,6,2,4,0,64.10,74.1,74.1,69.1,0,0,0,0,0,76,315,4,10,86,0,1,,,,
70,Chris Polk\PolkCh00,RB,25,2015,NFL,HTX,15,8,7,0,56.30,72.3,72.3,64.3,0,0,0,0,0,99,334,1,16,109,1,0,,,,
