,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
35,Randall Cobb\CobbRa00,WR,27,2017,NFL,GNB,15,6,9,0,93.40,159.4,159.4,126.4,1,1,10,0,0,9,17,0,66,653,4,1,,,,
36,Amari Cooper\CoopAm00,WR,23,2017,NFL,RAI,14,5,9,0,110.40,158.4,164.4,134.4,0,0,0,0,0,1,4,0,48,680,7,1,,,,
37,Rishard Matthews\MattRi00,WR,27,2017,NFL,OTI,14,7,7,0,103.20,156.2,159.2,129.7,0,0,0,0,0,1,-3,0,53,795,4,0,,,,
38,Mike Wallace\WallMi00,WR,31,2017,NFL,RAV,15,8,7,0,99.20,151.2,157.2,125.2,0,0,0,0,0,1,4,0,52,748,4,0,,,,
39,Paul Richardson\RichPa01,WR,25,2017,NFL,SEA,16,9,7,0,106.30,150.3,153.3,128.3,0,0,0,0,0,0,0,0,44,703,6,0,,,,
40,Marqise Lee\LeexMa00,WR,25,2017,NFL,JAX,14,10,4,0,91.90,147.9,147.9,119.9,0,1,0,0,0,1,17,0,56,702,3,1,,,,
41,Sammy Watkins\WatkSa00,WR,24,2017,NFL,RAM,15,11,4,0,107.30,146.3,149.3,126.8,0,0,0,0,0,0,0,0,39,593,8,0,,,,
42,Sterling Shepard\ShepSt00,WR,24,2017,NFL,NYG,11,0,11,0,85.50,144.5,153.5,115.0,0,0,0,0,0,4,4,0,59,731,2,1,,,,
43,Danny Amendola\AmenDa00,WR,31,2017,NFL,NWE,15,12,3,0,77.90,138.9,141.9,108.4,0,0,0,0,0,0,0,0,61,659,2,2,,,,
44,DeSean Jackson\JackDe00,WR,30,2017,NFL,TAM,14,4,10,0,88.60,138.6,141.6,113.6,0,0,0,0,0,3,38,0,50,668,3,0,,,,
45,Tyrell Williams\WillTy00,WR,25,2017,NFL,SDG,16,9,7,0,94.80,137.8,144.8,116.3,0,0,0,0,0,0,0,0,43,728,4,1,,,,
46,Jordy Nelson\NelsJo00,WR,32,2017,NFL,GNB,15,7,8,0,84.20,137.2,137.2,110.7,0,0,0,0,0,0,0,0,53,482,6,0,,,,
47,Kelvin Benjamin\BenjKe00,WR,26,2017,NFL,TOT,14,8,6,0,87.20,135.2,138.2,111.2,0,0,0,0,0,0,0,0,48,692,3,0,,,,
48,Keelan Cole\ColeKe00,WR,24,2017,NFL,JAX,16,10,6,0,90.80,132.8,139.8,111.8,0,0,0,0,0,0,0,0,42,748,3,2,,,,
49,Martavis Bryant\BryaMa00,WR,25,2017,NFL,PIT,15,12,3,0,82.50,132.5,132.5,107.5,0,0,0,0,0,6,22,0,50,603,3,0,,,,
50,Travis Benjamin\BenjTr00,WR,27,2017,NFL,SDG,16,9,7,0,96.70,130.3,133.3,113.3,0,0,0,0,0,13,96,0,34,567,4,2,,,,
51,DeVante Parker\ParkDe01,WR,24,2017,NFL,MIA,13,4,9,0,73.00,130.0,130.0,101.5,0,0,0,0,0,0,0,0,57,670,1,1,,,,
52,Adam Humphries\HumpAd00,WR,24,2017,NFL,TAM,16,5,11,0,67.70,128.7,132.7,98.2,0,0,0,0,0,1,6,0,61,631,1,1,,,,
53,Kendall Wright\WrigKe01,WR,27,2017,NFL,CHI,16,5,11,0,67.40,126.4,129.4,96.9,0,0,0,0,0,0,0,0,59,614,1,0,,,,
54,Ryan Grant\GranRy01,WR,26,2017,NFL,WAS,16,7,9,0,81.30,126.3,126.3,103.8,0,0,0,0,0,0,0,0,45,573,4,0,,,,
55,Brandon LaFell\LaFeBr00,WR,30,2017,NFL,CIN,16,7,9,0,72.80,124.8,124.8,98.8,0,0,0,0,0,0,0,0,52,548,3,1,,,,
56,Tyler Lockett\LockTy00,WR,24,2017,NFL,SEA,16,9,7,0,79.30,124.3,127.3,101.8,0,0,0,0,0,10,58,0,45,555,2,0,,,,
57,Josh Doctson\DoctJo00,WR,24,2017,NFL,WAS,16,7,9,0,84.80,119.8,119.8,102.3,0,0,0,0,0,1,-14,0,35,502,6,0,,,,
58,Eric Decker\DeckEr00,WR,30,2017,NFL,OTI,16,9,7,0,62.30,116.3,116.3,89.3,0,1,0,0,0,0,0,0,54,563,1,0,,,,
59,Albert Wilson\WilsAl02,WR,25,2017,NFL,KAN,13,10,3,0,74.00,116.0,119.0,95.0,0,0,0,0,0,3,6,0,42,554,3,0,,,,
