,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Tyreek Hill\HillTy00,WR,24,2018,NFL,KAN,16,12,4,0,247.00,334.0,352.0,290.5,0,0,0,0,0,22,151,1,87,1479,12,0,,,,
2,DeAndre Hopkins\HopkDe00,WR,26,2018,NFL,HTX,16,11,5,0,218.50,333.5,356.5,276.0,0,1,0,0,0,1,-7,0,115,1572,11,2,,,,
3,Davante Adams\AdamDa01,WR,25,2018,NFL,GNB,15,6,8,1,218.60,329.6,344.6,274.1,0,0,0,0,0,0,0,0,111,1386,13,0,,,,
4,Julio Jones\JoneJu02,WR,29,2018,NFL,ATL,16,7,9,0,212.90,325.9,357.9,269.4,0,0,0,0,0,2,12,0,113,1677,8,2,,,,
5,Antonio Brown\BrowAn04,WR,30,2018,NFL,PIT,15,8,6,1,219.70,323.7,338.7,271.7,0,1,0,0,0,0,0,0,104,1297,15,0,,,,
6,Michael Thomas\ThomMi05,WR,25,2018,NFL,NOR,16,13,3,0,190.50,315.5,329.5,253.0,0,0,0,0,0,0,0,0,125,1405,9,2,,,,
7,Adam Thielen\ThieAd00,WR,28,2018,NFL,MIN,16,8,7,1,194.30,307.3,335.3,250.8,0,0,0,0,0,5,30,0,113,1373,9,1,,,,
8,JuJu Smith-Schuster\SmitJu00,WR,21,2018,NFL,PIT,16,9,6,1,185.90,296.9,321.9,241.4,0,0,0,0,0,1,13,0,111,1426,7,1,,,,
9,Mike Evans\EvanMi00,WR,25,2018,NFL,TAM,16,5,11,0,198.40,284.4,315.4,247.4,0,0,0,0,0,0,0,0,86,1524,8,2,,,,
10,Stefon Diggs\DiggSt00,WR,24,2018,NFL,MIN,15,7,7,1,164.30,266.3,278.3,215.3,0,0,0,0,0,10,62,0,102,1021,9,0,,,,
11,Robert Woods\WoodRo02,WR,26,2018,NFL,RAM,16,13,3,0,179.60,265.6,274.6,222.6,0,0,0,0,0,19,157,1,86,1219,6,0,,,,
12,Keenan Allen\AlleKe00,WR,26,2018,NFL,SDG,16,12,4,0,163.10,260.1,270.1,211.6,0,0,0,0,0,9,75,0,97,1196,6,3,,,,
13,Brandin Cooks\CookBr00,WR,24,2018,NFL,RAM,16,13,3,0,163.20,243.2,258.2,203.2,0,0,0,0,0,10,68,1,80,1204,5,1,,,,
14,T.Y. Hilton\HiltT.00,WR,28,2018,NFL,CLT,14,10,4,0,163.00,239.0,254.0,201.0,0,0,0,0,0,0,0,0,76,1270,6,0,,,,
15,Odell Beckham\BeckOd00,WR,25,2018,NFL,NYG,12,4,8,0,153.34,230.3,246.3,191.8,2,2,106,2,0,5,19,0,77,1052,6,2,,,,
16,Tyler Lockett\LockTy00,WR,25,2018,NFL,SEA,16,10,6,0,165.40,222.4,225.4,193.9,0,0,0,0,0,13,69,0,57,965,10,2,,,,
17,Tyler Boyd\BoydTy00,WR,23,2018,NFL,CIN,14,6,8,0,145.10,221.1,230.1,183.1,0,1,0,0,0,2,3,0,76,1028,7,0,,,,
18,Jarvis Landry\LandJa00,WR,25,2018,NFL,CLE,16,7,8,1,136.12,217.1,230.1,176.6,1,2,63,0,0,3,60,1,81,976,4,1,,,,
19,Amari Cooper\CoopAm00,WR,24,2018,NFL,TOT,15,8,7,0,140.50,215.5,229.5,178.0,0,0,0,0,0,2,20,0,75,1005,7,2,,,,
20,Julian Edelman\EdelJu00,WR,32,2018,NFL,NWE,12,9,3,0,133.42,207.4,213.4,170.4,2,2,43,0,0,9,107,0,74,850,6,1,,,,
21,Kenny Golladay\GollKe00,WR,24,2018,NFL,DET,15,5,10,0,137.10,207.1,216.1,172.1,0,0,0,0,0,1,8,0,70,1063,5,1,,,,
22,Calvin Ridley\RidlCa00,WR,23,2018,NFL,ATL,16,7,9,0,142.80,206.8,210.8,174.8,0,0,0,0,0,6,27,0,64,821,10,2,,,,
23,Emmanuel Sanders\SandEm00,WR,31,2018,NFL,DEN,12,6,6,0,127.22,198.2,207.2,162.7,1,1,28,1,0,4,53,1,71,868,4,1,,,,
24,Adam Humphries\HumpAd00,WR,25,2018,NFL,TAM,16,5,11,0,112.70,188.7,188.7,150.7,0,0,0,0,0,2,11,0,76,816,5,2,,,,
25,Larry Fitzgerald\FitzLa00,WR,35,2018,NFL,CRD,16,3,13,0,116.68,185.7,188.7,151.2,1,1,32,1,0,0,0,0,69,734,6,0,,,,
26,Alshon Jeffery\JeffAl00,WR,28,2018,NFL,PHI,13,7,6,0,120.30,185.3,191.3,152.8,0,0,0,0,0,0,0,0,65,843,6,1,,,,
27,Chris Godwin\GodwCh00,WR,22,2018,NFL,TAM,16,5,11,0,126.20,185.2,195.2,155.7,0,0,0,0,0,0,0,0,59,842,7,4,,,,
28,Corey Davis\DaviCo03,WR,23,2018,NFL,OTI,16,9,7,0,118.60,183.6,189.6,151.1,0,0,0,0,0,6,55,0,65,891,4,1,,,,
29,Golden Tate\TateGo00,WR,30,2018,NFL,TOT,15,8,7,0,108.90,182.9,188.9,145.9,0,0,0,0,0,4,34,0,74,795,4,3,,,,
30,Sterling Shepard\ShepSt00,WR,25,2018,NFL,NYG,16,5,11,0,116.50,182.5,188.5,149.5,0,0,0,0,0,3,33,0,66,872,4,1,,,,
31,Mohamed Sanu\SanuMo00,WR,29,2018,NFL,ATL,16,7,9,0,116.40,182.4,186.4,149.4,1,2,5,1,0,7,44,0,66,838,4,2,,,,
32,Mike Williams\WillMi07,WR,23,2018,NFL,SDG,16,12,4,0,137.20,180.2,180.2,158.7,0,0,0,0,0,7,28,1,43,664,10,0,,,,
33,Dede Westbrook\WestDe00,WR,24,2018,NFL,JAX,16,5,11,0,113.50,179.5,184.5,146.5,0,1,0,0,0,9,98,0,66,717,5,3,,,,
34,Nelson Agholor\AghoNe00,WR,25,2018,NFL,PHI,16,9,7,0,101.40,165.4,168.4,133.4,1,1,15,0,0,3,32,0,64,736,4,1,,,,
35,Zay Jones\JoneZa00,WR,23,2018,NFL,BUF,16,6,10,0,109.20,165.2,165.2,137.2,0,1,0,0,0,1,0,0,56,652,7,1,,,,
36,D.J. Moore\MoorD.00,WR,21,2018,NFL,CAR,16,7,9,0,102.00,157.0,163.0,129.5,0,0,0,0,0,13,172,0,55,788,2,4,,,,
37,Jordy Nelson\NelsJo00,WR,33,2018,NFL,RAI,15,3,12,0,93.90,156.7,159.7,125.2,0,0,0,0,0,1,-2,0,63,739,3,1,,,,
38,Demaryius Thomas\ThomDe03,WR,30,2018,NFL,TOT,15,8,7,0,97.70,156.7,159.7,127.2,0,0,0,0,0,0,0,0,59,677,5,0,,,,
39,Robby Anderson\AndeRo04,WR,25,2018,NFL,NYJ,14,4,10,0,106.40,156.4,164.4,131.4,0,0,0,0,0,2,-8,0,50,752,6,2,,,,
40,Allen Robinson\RobiAl02,WR,25,2018,NFL,CHI,13,9,4,0,98.30,153.3,157.3,125.8,0,0,0,0,0,1,9,0,55,754,4,1,,,,
41,Taylor Gabriel\GabrTa00,WR,27,2018,NFL,CHI,16,12,4,0,84.90,151.9,158.9,118.4,0,0,0,0,0,9,61,0,67,688,2,1,,,,
42,DeSean Jackson\JackDe00,WR,31,2018,NFL,TAM,12,4,8,0,110.30,151.3,160.3,130.8,0,0,0,0,0,6,29,1,41,774,4,0,,,,
43,Cole Beasley\BeasCo00,WR,29,2018,NFL,DAL,16,10,6,0,85.20,150.2,153.2,117.7,0,1,0,0,0,0,0,0,65,672,3,0,,,,
44,A.J. Green\GreeA.00,WR,30,2018,NFL,CIN,9,5,4,0,103.40,149.4,156.4,126.4,0,0,0,0,0,0,0,0,46,694,6,2,,,,
45,John Brown\BrowJo02,WR,28,2018,NFL,RAV,16,10,6,0,101.90,143.9,149.9,122.9,0,0,0,0,0,3,4,0,42,715,5,0,,,,
46,Doug Baldwin\BaldDo00,WR,29,2018,NFL,SEA,13,8,5,0,91.80,141.8,144.8,116.8,0,0,0,0,0,0,0,0,50,618,5,0,,,,
47,Josh Gordon\GordJo02,WR,27,2018,NFL,TOT,12,8,3,1,97.70,138.7,144.7,118.2,0,0,0,0,0,0,0,0,41,737,4,0,,,,
48,Tyrell Williams\WillTy00,WR,26,2018,NFL,SDG,16,12,4,0,96.80,137.8,143.8,117.3,0,0,0,0,0,2,15,0,41,653,5,2,,,,
49,Curtis Samuel\SamuCu00,WR,22,2018,NFL,CAR,13,5,8,0,97.80,136.8,137.8,117.3,0,0,0,0,0,8,84,2,39,494,5,1,,,,
50,Courtland Sutton\SuttCo00,WR,22,2018,NFL,DEN,16,6,10,0,94.30,136.3,136.3,115.3,0,0,0,0,0,1,-1,0,42,704,4,0,,,,
51,Cooper Kupp\KuppCo00,WR,25,2018,NFL,RAM,8,7,1,0,95.10,135.1,138.1,115.1,0,0,0,0,0,4,25,0,40,566,6,0,,,,
52,Willie Snead\SneaWi00,WR,25,2018,NFL,RAV,16,10,6,0,72.40,134.4,134.4,103.4,0,0,0,0,0,1,13,0,62,651,1,0,,,,
53,Kenny Stills\StilKe00,WR,26,2018,NFL,MIA,15,7,8,0,97.42,134.4,140.4,115.9,1,1,3,1,0,0,0,0,37,553,6,1,,,,
54,Michael Crabtree\CrabMi00,WR,30,2018,NFL,RAV,16,10,6,0,78.70,132.7,132.7,105.7,0,0,0,0,0,0,0,0,54,607,3,0,,,,
55,Antonio Callaway\CallAn00,WR,21,2018,NFL,CLE,16,7,8,1,89.30,132.3,133.3,110.8,0,0,0,0,0,2,7,0,43,586,5,1,,,,
56,Donte Moncrief\MoncDo00,WR,25,2018,NFL,JAX,16,5,11,0,82.80,130.8,134.8,106.8,0,0,0,0,0,0,0,0,48,668,3,1,,,,
57,Danny Amendola\AmenDa00,WR,32,2018,NFL,MIA,15,6,9,0,68.42,127.4,127.4,97.9,1,1,28,1,0,1,-2,0,59,575,1,2,,,,
58,Christian Kirk\KirkCh01,WR,21,2018,NFL,CRD,12,3,9,0,80.50,123.5,123.5,102.0,0,0,0,0,0,3,35,0,43,590,3,0,,,,
59,Devin Funchess\FuncDe00,WR,24,2018,NFL,CAR,14,6,8,0,78.90,122.9,122.9,100.9,0,0,0,0,0,0,0,0,44,549,4,0,,,,
60,Anthony Miller\MillAn02,WR,23,2018,NFL,CHI,15,11,4,0,87.22,120.2,123.2,103.7,1,1,8,0,0,6,26,0,33,423,7,1,,,,
61,Rashard Higgins\HiggRa00,WR,23,2018,NFL,CLE,13,7,5,1,79.20,118.2,119.2,98.7,0,0,0,0,0,0,0,0,39,572,4,2,,,,
62,Chester Rogers\RogeCh02,WR,24,2018,NFL,CLT,16,10,6,0,62.50,117.1,117.1,90.6,0,0,0,0,0,1,-4,0,53,485,2,1,,,,
63,Marvin Jones\JoneMa02,WR,28,2018,NFL,DET,9,3,6,0,80.80,115.8,118.8,98.3,0,0,0,0,0,0,0,0,35,508,5,0,,,,
64,Sammy Watkins\WatkSa00,WR,25,2018,NFL,KAN,10,8,2,0,75.10,115.1,121.1,95.1,0,0,0,0,0,5,52,0,40,519,3,1,,,,
65,Kendrick Bourne\BourKe00,WR,23,2018,NFL,SFO,16,4,12,0,72.70,114.7,114.7,93.7,0,0,0,0,0,0,0,0,42,487,4,1,,,,
66,Marquez Valdes-Scantling\ValdMa00,WR,23,2018,NFL,GNB,16,6,9,1,73.00,111.0,117.0,92.0,0,0,0,0,0,2,29,0,38,581,2,0,,,,
67,Josh Doctson\DoctJo00,WR,25,2018,NFL,WAS,15,7,8,0,65.20,109.2,109.2,87.2,0,0,0,0,0,0,0,0,44,532,2,0,,,,
68,Seth Roberts\RobeSe00,WR,27,2018,NFL,RAI,15,4,11,0,61.90,106.9,106.9,84.4,0,0,0,0,0,3,5,0,45,494,2,0,,,,
69,Will Fuller\FullWi01,WR,24,2018,NFL,HTX,7,5,2,0,74.30,106.3,115.3,90.3,0,0,0,0,0,0,0,0,32,503,4,0,,,,
70,Chris Hogan\HogaCh00,WR,30,2018,NFL,NWE,16,11,5,0,71.20,106.2,106.2,88.7,0,0,0,0,0,0,0,0,35,532,3,0,,,,
71,Dante Pettis\PettDa00,WR,22,2018,NFL,SFO,12,4,8,0,76.50,103.5,106.5,90.0,0,0,0,0,0,1,-2,0,27,467,5,2,,,,
72,David Moore\MoorDa03,WR,23,2018,NFL,SEA,16,10,6,0,75.00,101.0,104.0,88.0,0,0,0,0,0,1,5,0,26,445,5,2,,,,
73,Tre'Quan Smith\SmitTr03,WR,22,2018,NFL,NOR,15,12,3,0,72.70,100.7,106.7,86.7,0,0,0,0,0,0,0,0,28,427,5,0,,,,
74,Josh Reynolds\ReynJo00,WR,23,2018,NFL,RAM,16,13,3,0,71.20,100.0,100.0,85.5,0,0,0,0,0,2,8,0,29,402,5,0,,,,
