,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Christian McCaffrey\McCaCh01,RB,23,2019,NFL,CAR,16,5,11,0,355.20,471.2,495.2,413.2,0,2,0,0,0,287,1387,15,116,1005,4,1,,,,
2,Aaron Jones\JoneAa00,RB,24,2019,NFL,GNB,16,13,3,0,265.80,314.8,334.8,290.3,0,0,0,0,0,236,1084,16,49,474,3,3,,,,
3,Ezekiel Elliott\ElliEz00,RB,24,2019,NFL,DAL,16,8,8,0,257.70,311.7,334.7,284.7,0,0,0,0,0,301,1357,12,54,420,2,3,,,,
4,Austin Ekeler\EkelAu00,RB,24,2019,NFL,SDG,16,5,11,0,217.00,309.0,323.0,263.0,0,0,0,0,0,132,557,3,92,993,8,3,,,,
5,Derrick Henry\HenrDe00,RB,25,2019,NFL,OTI,15,9,6,0,276.60,294.6,315.6,285.6,0,0,0,0,0,303,1540,16,18,206,2,5,,,,
6,Dalvin Cook\CookDa01,RB,24,2019,NFL,MIN,14,10,4,0,239.40,292.4,309.4,265.9,0,0,0,0,0,250,1135,13,53,519,0,4,,,,
7,Leonard Fournette\FourLe00,RB,24,2019,NFL,JAX,15,5,10,0,183.40,259.4,269.4,221.4,0,0,0,0,0,265,1152,3,76,522,0,1,,,,
8,Nick Chubb\ChubNi00,RB,23,2019,NFL,CLE,16,6,10,0,219.20,255.2,279.2,237.2,0,0,0,0,0,298,1494,8,36,278,0,3,,,,
9,Alvin Kamara\KamaAl00,RB,24,2019,NFL,NOR,14,11,3,0,167.52,248.5,249.5,208.0,1,1,13,0,0,171,797,5,81,533,1,4,,,,
10,Saquon Barkley\BarkSa00,RB,22,2019,NFL,NYG,13,3,10,0,192.10,244.1,256.1,218.1,0,0,0,0,0,217,1003,6,52,438,2,1,,,,
11,Mark Ingram\IngrMa01,RB,29,2019,NFL,RAV,15,13,2,0,216.50,242.5,256.5,229.5,0,0,0,0,0,202,1018,10,26,247,5,2,,,,
12,Chris Carson\CarsCh00,RB,24,2019,NFL,SEA,15,11,4,0,195.60,232.6,254.6,214.1,0,0,0,0,0,278,1230,7,37,266,2,7,,,,
13,Joe Mixon\MixoJo00,HB,23,2019,NFL,CIN,16,2,14,0,190.40,225.4,237.4,207.9,0,0,0,0,0,278,1137,5,35,287,3,0,,,,
14,Todd Gurley\GurlTo01,RB,25,2019,NFL,RAM,15,9,6,0,188.40,219.4,221.4,203.9,0,0,0,0,0,223,857,12,31,207,2,3,,,,
15,Miles Sanders\SandMi01,RB,22,2019,NFL,PHI,16,9,7,0,168.70,218.7,222.7,193.7,0,0,0,0,0,179,818,3,50,509,3,2,,,,
16,Le'Veon Bell\BellLe00,RB,27,2019,NFL,NYJ,15,6,9,0,149.00,215.0,216.0,182.0,0,0,0,0,0,245,789,3,66,461,1,1,,,,
17,Kenyan Drake\DrakKe00,RB,25,2019,NFL,TOT,14,2,12,0,164.20,214.2,224.2,189.2,0,0,0,0,0,170,817,8,50,345,0,2,,,,
18,James White\WhitJa02,RB,27,2019,NFL,NWE,15,11,4,0,128.30,200.2,201.2,164.2,1,1,35,0,0,67,263,1,72,645,5,1,,,,
19,Phillip Lindsay\LindPh00,RB,25,2019,NFL,DEN,16,7,9,0,162.70,197.7,203.7,180.2,0,0,0,0,0,224,1011,7,35,196,0,0,,,,
20,Devonta Freeman\FreeDe00,RB,27,2019,NFL,ATL,14,6,8,0,138.60,197.6,199.6,168.1,0,0,0,0,0,184,656,2,59,410,4,3,,,,
21,Josh Jacobs\JacoJo01,RB,21,2019,NFL,RAI,13,6,7,0,171.60,191.6,207.6,181.6,0,0,0,0,0,242,1150,7,20,166,0,1,,,,
22,Marlon Mack\MackMa00,RB,23,2019,NFL,CLT,14,7,7,0,167.30,181.3,190.3,174.3,0,0,0,0,0,247,1091,8,14,82,0,0,,,,
23,Melvin Gordon\GordMe00,RB,26,2019,NFL,SDG,12,3,9,0,138.80,180.8,186.8,159.8,0,0,0,0,0,162,612,8,42,296,1,4,,,,
24,David Montgomery\MontDa01,RB,22,2019,NFL,CHI,16,8,8,0,145.40,170.4,178.4,157.9,0,0,0,0,0,242,889,6,25,185,1,2,,,,
25,Ronald Jones\JoneRo01,RB,22,2019,NFL,TAM,16,7,9,0,135.30,166.3,171.3,150.8,0,0,0,0,0,172,724,6,31,309,0,3,,,,
26,Raheem Mostert\MostRa00,RB,27,2019,NFL,SFO,16,13,3,0,151.40,165.2,170.2,158.2,0,0,0,0,0,137,772,8,14,180,2,2,,,,
27,Tarik Cohen\CoheTa00,RB,24,2019,NFL,CHI,16,8,8,0,84.90,163.9,163.9,124.4,0,0,0,0,0,64,213,0,79,456,3,3,,,,
28,Latavius Murray\MurrLa00,RB,29,2019,NFL,NOR,16,13,3,0,123.20,157.2,163.2,140.2,0,0,0,0,0,146,637,5,34,235,1,0,,,,
29,Duke Johnson\JohnDu00,RB,25,2019,NFL,HTX,16,10,6,0,110.00,154.0,155.0,132.0,0,0,0,0,0,83,410,2,44,410,3,1,,,,
30,Carlos Hyde\HydeCa00,RB,28,2019,NFL,HTX,16,10,6,0,143.20,153.2,164.2,148.2,0,0,0,0,0,245,1070,6,10,42,0,4,,,,
31,Sony Michel\MichSo00,RB,24,2019,NFL,NWE,16,12,4,0,140.60,152.6,153.6,146.6,0,0,0,0,0,247,912,7,12,94,0,2,,,,
32,Devin Singletary\SingDe00,RB,22,2019,NFL,BUF,12,8,4,0,118.90,147.9,151.9,133.4,0,0,0,0,0,151,775,2,29,194,2,4,,,,
33,Adrian Peterson\PeteAd01,RB,34,2019,NFL,WAS,15,3,12,0,130.00,147.0,155.0,138.5,0,0,0,0,0,211,898,5,17,142,0,3,,,,
34,Jamaal Williams\WillJa06,RB,24,2019,NFL,GNB,14,11,3,0,107.30,146.3,149.3,126.8,0,0,0,0,0,107,460,1,39,253,5,0,,,,
35,James Conner\ConnJa00,RB,24,2019,NFL,PIT,10,3,7,0,111.50,145.5,149.5,128.5,0,0,0,0,0,116,464,4,34,251,3,1,,,,
36,Royce Freeman\FreeRo00,RB,23,2019,NFL,DEN,16,7,9,0,99.20,142.2,142.2,120.7,0,0,0,0,0,132,496,3,43,256,1,0,,,,
37,David Johnson\JohnDa08,RB,27,2019,NFL,CRD,13,5,7,1,105.50,141.5,142.5,123.5,0,0,0,0,0,94,345,2,36,370,4,1,,,,
38,Damien Williams\WillDa05,RB,27,2019,NFL,KAN,11,7,4,0,111.10,141.1,148.1,126.1,0,0,0,0,0,111,498,5,30,213,2,1,,,,
39,Tevin Coleman\ColeTe01,RB,26,2019,NFL,SFO,14,11,3,0,114.40,135.4,138.4,124.9,0,0,0,0,0,137,544,6,21,180,1,0,,,,
40,DeAndre Washington\WashDe00,RB,26,2019,NFL,RAI,16,7,9,0,85.90,121.9,121.9,103.9,0,0,0,0,0,108,387,3,36,292,0,0,,,,
41,LeSean McCoy\McCoLe01,RB,31,2019,NFL,KAN,13,10,3,0,90.60,118.6,120.6,104.6,0,0,0,0,0,101,465,4,28,181,1,3,,,,
42,Nyheim Hines\HineNy00,RB,22,2019,NFL,CLT,16,7,9,0,73.90,117.9,118.9,95.9,0,0,0,0,0,52,199,2,44,320,0,1,,,,
43,Peyton Barber\BarbPe01,RB,25,2019,NFL,TAM,16,7,9,0,100.50,116.5,117.5,108.5,0,0,0,0,0,154,470,6,16,115,1,1,,,,
44,Jordan Howard\HowaJo00,RB,24,2019,NFL,PHI,10,6,4,0,101.40,111.4,111.4,106.4,0,0,0,0,0,119,525,6,10,69,1,0,,,,
45,Jaylen Samuels\SamuJa00,RB,23,2019,NFL,PIT,14,6,8,0,57.40,104.4,106.4,81.9,4,5,35,0,1,66,175,1,47,305,1,1,,,,
