,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Travis Kelce\KelcTr00,TE,27,2017,NFL,KAN,15,9,6,0,150.50,233.5,246.5,193.0,0,1,0,0,1,2,7,0,83,1038,8,0,,,,
2,Rob Gronkowski\GronRo00,TE,28,2017,NFL,NWE,14,12,2,0,158.40,227.4,236.4,192.9,0,0,0,0,0,0,0,0,69,1084,8,1,,,,
3,Zach Ertz\ErtzZa00,TE,26,2017,NFL,PHI,14,11,3,0,128.40,202.4,206.4,165.4,0,0,0,0,0,0,0,0,74,824,8,1,,,,
4,Delanie Walker\WalkHu00,TE,33,2017,NFL,OTI,16,9,7,0,100.50,174.5,176.5,137.5,0,0,0,0,0,2,-2,1,74,807,3,2,,,,
5,Evan Engram\EngrEv00,TE,23,2017,NFL,NYG,15,2,13,0,109.60,173.6,173.6,141.6,0,0,0,0,0,1,14,0,64,722,6,0,,,,
6,Jimmy Graham\GrahJi00,TE,30,2017,NFL,SEA,16,9,7,0,114.10,171.0,171.0,142.5,0,0,0,0,0,0,0,0,57,520,10,0,,,,
7,Jack Doyle\DoylJa00,TE,27,2017,NFL,CLT,15,3,12,0,89.00,169.0,174.0,129.0,0,0,0,0,0,0,0,0,80,690,4,2,,,,
8,Kyle Rudolph\RudoKy00,TE,27,2017,NFL,MIN,16,13,3,0,101.20,158.2,158.2,129.7,0,0,0,0,0,0,0,0,57,532,8,0,,,,
9,Jason Witten\WittJa00,TE,35,2017,NFL,DAL,16,9,7,0,84.00,147.0,148.0,115.5,0,0,0,0,0,0,0,0,63,560,5,1,,,,
10,Cameron Brate\BratCa00,TE,26,2017,NFL,TAM,16,5,11,0,95.10,143.1,143.1,119.1,0,0,0,0,0,0,0,0,48,591,6,1,,,,
11,Ben Watson\WatsBe00,TE,36,2017,NFL,RAV,16,9,7,0,76.20,137.2,137.2,106.7,0,0,0,0,0,0,0,0,61,522,4,1,,,,
12,Jared Cook\CookJa02,TE,30,2017,NFL,RAI,16,6,10,0,78.80,132.8,139.8,105.8,0,0,0,0,0,0,0,0,54,688,2,1,,,,
13,Eric Ebron\EbroEr00,TE,24,2017,NFL,DET,16,9,7,0,79.40,132.4,133.4,105.9,0,0,0,0,0,0,0,0,53,574,4,1,,,,
14,Hunter Henry\HenrHu00,TE,22,2017,NFL,SDG,14,7,7,0,81.90,126.9,126.9,104.4,0,0,0,0,0,0,0,0,45,579,4,0,,,,
15,Tyler Kroft\KrofTy00,TE,24,2017,NFL,CIN,16,7,9,0,82.40,124.4,124.4,103.4,0,0,0,0,0,0,0,0,42,404,7,0,,,,
16,Vernon Davis\DaviVe00,TE,33,2017,NFL,WAS,16,7,9,0,78.80,121.8,123.8,100.3,0,0,0,0,0,0,0,0,43,648,3,2,,,,
17,Austin Hooper\HoopAu00,TE,22,2017,NFL,ATL,16,10,6,0,70.70,119.6,122.6,95.1,0,0,0,0,0,0,0,0,49,526,3,0,,,,
18,Charles Clay\ClayCh00,TE,28,2017,NFL,BUF,13,7,6,0,67.80,116.8,119.8,92.3,0,0,0,0,0,0,0,0,49,558,2,1,,,,
19,George Kittle\KittGe00,TE,23,2017,NFL,SFO,15,5,10,0,63.50,106.5,109.5,85.0,0,0,0,0,0,0,0,0,43,515,2,0,,,,
20,Austin Seferian-Jenkins\SefeAu00,TE,24,2017,NFL,NYJ,13,5,8,0,51.70,101.7,102.7,76.7,0,0,0,0,0,0,0,0,50,357,3,1,,,,
21,O.J. Howard\HowaO.00,TE,22,2017,NFL,TAM,14,4,10,0,75.20,101.2,103.2,88.2,0,0,0,0,0,0,0,0,26,432,6,3,,,,
22,Jesse James\JameJe00,TE,23,2017,NFL,PIT,16,13,3,0,55.20,98.2,98.2,76.7,0,0,0,0,0,0,0,0,43,372,3,0,,,,
23,Julius Thomas\ThomJu00,TE,29,2017,NFL,MIA,14,6,8,0,56.80,97.8,97.8,77.3,0,0,0,0,0,0,0,0,41,388,3,1,,,,
24,David Njoku\NjokDa00,TE,21,2017,NFL,CLE,16,0,16,0,62.70,94.7,94.7,78.7,0,0,0,0,0,1,1,0,32,386,4,0,,,,
25,Marcedes Lewis\LewiMa00,TE,33,2017,NFL,JAX,16,10,6,0,63.80,87.8,87.8,75.8,0,0,0,0,0,0,0,0,24,318,5,0,,,,
