,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Saquon Barkley\BarkSa00,RB,21,2018,NFL,NYG,16,5,11,0,294.80,385.8,406.8,340.3,0,0,0,0,0,261,1307,11,91,721,4,0,,,,
2,Christian McCaffrey\McCaCh01,RB,22,2018,NFL,CAR,16,7,9,0,278.50,385.5,404.5,332.0,1,1,50,1,0,219,1098,7,107,867,6,4,,,,
3,Todd Gurley\GurlTo01,RB,24,2018,NFL,RAM,14,11,3,0,313.10,372.1,391.1,342.6,0,0,0,0,0,256,1251,17,59,580,4,1,,,,
4,Alvin Kamara\KamaAl00,RB,23,2018,NFL,NOR,15,13,2,0,273.20,354.2,363.2,313.7,0,0,0,0,0,194,883,14,81,709,4,1,,,,
5,Ezekiel Elliott\ElliEz00,RB,23,2018,NFL,DAL,15,9,6,0,252.10,329.1,351.1,290.6,0,0,0,0,0,304,1434,6,77,567,3,6,,,,
6,James Conner\ConnJa00,RB,23,2018,NFL,PIT,13,8,4,1,225.00,280.0,297.0,252.5,0,0,0,0,0,215,973,12,55,497,1,4,,,,
7,James White\WhitJa02,RB,26,2018,NFL,NWE,16,11,5,0,189.60,276.6,276.6,233.1,0,0,0,0,0,94,425,5,87,751,7,0,,,,
8,Melvin Gordon\GordMe00,RB,25,2018,NFL,SDG,12,8,4,0,225.50,275.5,287.5,250.5,0,0,0,0,0,175,885,10,50,490,4,1,,,,
9,David Johnson\JohnDa08,RB,26,2018,NFL,CRD,16,3,13,0,196.60,246.6,251.6,221.6,0,0,0,0,0,258,940,7,50,446,3,3,,,,
10,Joe Mixon\MixoJo00,HB,22,2018,NFL,CIN,14,5,9,0,200.40,243.4,255.4,221.9,0,0,0,0,0,237,1168,8,43,296,1,0,,,,
11,Tarik Cohen\CoheTa00,RB,23,2018,NFL,CHI,16,12,4,0,162.94,233.9,242.9,198.4,1,1,1,1,0,99,444,3,71,725,5,7,,,,
12,Kareem Hunt\HuntKa00,RB,23,2018,NFL,KAN,11,9,2,0,204.20,230.2,236.2,217.2,0,0,0,0,0,181,824,7,26,378,7,0,,,,
13,Phillip Lindsay\LindPh00,RB,24,2018,NFL,DEN,15,6,9,0,187.80,222.8,231.8,205.3,0,0,0,0,0,192,1037,9,35,241,1,0,,,,
14,Kenyan Drake\DrakKe00,RB,24,2018,NFL,MIA,16,7,9,0,153.20,206.2,207.2,179.7,0,0,0,0,0,120,535,4,53,477,5,2,,,,
15,Chris Carson\CarsCh00,RB,23,2018,NFL,SEA,14,9,5,0,181.40,201.4,221.4,191.4,0,0,0,0,0,247,1151,9,20,163,0,3,,,,
16,Derrick Henry\HenrDe00,RB,24,2018,NFL,OTI,16,9,7,0,186.36,201.4,208.4,193.9,2,3,14,0,0,215,1059,12,15,99,0,1,,,,
17,Nick Chubb\ChubNi00,RB,22,2018,NFL,CLE,16,7,8,1,174.50,194.5,206.5,184.5,0,0,0,0,0,192,996,8,20,149,2,0,,,,
18,Tevin Coleman\ColeTe01,RB,25,2018,NFL,ATL,16,7,9,0,161.60,193.6,199.6,177.6,0,0,0,0,0,167,800,4,32,276,5,2,,,,
19,Adrian Peterson\PeteAd01,RB,33,2018,NFL,WAS,16,7,9,0,169.00,189.0,200.0,179.0,0,0,0,0,0,251,1042,7,20,208,1,3,,,,
20,Jordan Howard\HowaJo00,RB,23,2018,NFL,CHI,16,12,4,0,160.00,180.0,187.0,170.0,0,0,0,0,0,250,935,9,20,145,0,2,,,,
21,Marlon Mack\MackMa00,RB,22,2018,NFL,CLT,12,10,2,0,161.10,178.1,192.1,169.6,0,0,0,0,0,195,908,9,17,103,1,2,,,,
22,T.J. Yeldon\YeldT.00,RB,24,2018,NFL,JAX,14,4,10,0,118.10,173.1,174.1,145.6,0,0,0,0,0,104,414,1,55,487,4,1,,,,
23,Lamar Miller\MillLa01,RB,27,2018,NFL,HTX,14,10,4,0,147.60,172.6,185.6,160.1,0,0,0,0,0,210,973,5,25,163,1,1,,,,
24,Aaron Jones\JoneAa00,RB,23,2018,NFL,GNB,12,4,8,0,145.40,171.4,175.4,158.4,0,0,0,0,0,133,728,8,26,206,1,1,,,,
25,Austin Ekeler\EkelAu00,RB,23,2018,NFL,SDG,14,11,3,0,129.80,168.8,169.8,149.3,0,0,0,0,0,106,554,3,39,404,3,1,,,,
26,Matt Breida\BreiMa00,RB,23,2018,NFL,SFO,14,3,11,0,135.50,162.5,172.5,149.0,0,0,0,0,0,153,814,3,27,261,2,1,,,,
27,Nyheim Hines\HineNy00,RB,21,2018,NFL,CLT,16,10,6,0,97.90,160.9,160.9,129.4,0,0,0,0,0,85,314,2,63,425,2,1,,,,
28,Dion Lewis\LewiDi00,RB,27,2018,NFL,OTI,16,9,7,0,101.70,160.7,161.7,131.2,0,0,0,0,0,155,517,1,59,400,1,1,,,,
29,Jalen Richard\RichJa01,RB,24,2018,NFL,RAI,16,4,12,0,88.60,156.6,158.6,122.6,0,0,0,0,0,55,259,1,68,607,0,3,,,,
30,Dalvin Cook\CookDa01,HB,23,2018,NFL,MIN,11,5,5,1,112.00,152.0,157.0,132.0,0,0,0,0,0,133,615,2,40,305,2,2,,,,
31,Peyton Barber\BarbPe01,RB,24,2018,NFL,TAM,16,5,11,0,130.30,150.3,154.3,140.3,0,0,0,0,0,234,871,5,20,92,1,1,,,,
32,Mark Ingram\IngrMa01,RB,28,2018,NFL,NOR,12,10,2,0,121.50,142.5,149.5,132.0,0,0,0,0,0,138,645,6,21,170,1,3,,,,
33,Isaiah Crowell\CrowIs00,RB,25,2018,NFL,NYJ,13,4,9,0,119.70,140.7,146.7,130.2,0,0,0,0,0,143,685,6,21,152,0,0,,,,
34,Kerryon Johnson\JohnKe06,RB,21,2018,NFL,DET,10,4,6,0,107.40,139.4,146.4,123.4,0,0,0,0,0,118,641,3,32,213,1,1,,,,
35,Sony Michel\MichSo00,RB,23,2018,NFL,NWE,13,8,5,0,132.10,139.1,152.1,135.6,0,0,0,0,0,209,931,6,7,50,0,1,,,,
36,Mike Davis\DaviMi01,RB,25,2018,NFL,SEA,15,10,5,0,102.80,136.8,139.8,119.8,0,0,0,0,0,112,514,4,34,214,1,0,,,,
37,Duke Johnson\JohnDu00,RB,24,2018,NFL,CLE,16,7,8,1,85.60,132.0,132.0,108.5,0,0,0,0,0,40,201,0,47,429,3,1,,,,
38,Latavius Murray\MurrLa00,RB,28,2018,NFL,MIN,16,8,7,1,109.90,131.9,134.9,120.9,0,0,0,0,0,140,578,6,22,141,0,0,,,,
39,LeSean McCoy\McCoLe01,RB,30,2018,NFL,BUF,14,4,10,0,93.20,127.2,130.2,110.2,0,0,0,0,0,161,514,3,34,238,0,0,,,,
40,Leonard Fournette\FourLe00,RB,23,2018,NFL,JAX,8,3,5,0,98.40,120.4,120.4,109.4,0,0,0,0,0,133,439,5,22,185,1,0,,,,
41,Doug Martin\MartDo00,RB,29,2018,NFL,RAI,16,4,12,0,101.90,119.9,128.9,110.9,0,0,0,0,0,172,723,4,18,116,0,3,,,,
42,Wendell Smallwood\SmalWe00,RB,24,2018,NFL,PHI,16,9,7,0,89.80,117.4,118.4,103.4,0,0,0,0,0,87,364,3,28,230,2,2,,,,
43,Theo Riddick\RiddTh00,RB,27,2018,NFL,DET,14,5,9,0,55.50,116.5,116.5,86.0,0,0,0,0,0,40,171,0,61,384,0,0,,,,
44,Jamaal Williams\WillJa06,RB,23,2018,NFL,GNB,16,6,9,1,87.40,114.4,114.4,100.9,0,0,0,0,0,121,464,3,27,210,0,0,,,,
45,Alex Collins\CollAl00,RB,24,2018,NFL,RAV,10,5,5,0,93.60,108.6,111.6,101.1,0,0,0,0,0,114,411,7,15,105,1,3,,,,
46,Frank Gore\GoreFr00,RB,35,2018,NFL,MIA,14,7,7,0,90.60,102.6,105.6,96.6,0,0,0,0,0,156,722,0,12,124,1,1,,,,
47,Royce Freeman\FreeRo00,RB,22,2018,NFL,DEN,14,6,8,0,87.30,101.3,102.3,94.3,0,0,0,0,0,130,521,5,14,72,0,1,,,,
48,Damien Williams\WillDa05,RB,26,2018,NFL,KAN,16,12,4,0,75.60,98.6,102.6,87.1,0,0,0,0,0,50,256,4,23,160,2,1,,,,
