,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Antonio Brown\BrowAn04,WR,27,2015,NFL,PIT,16,10,6,0,252.20,388.2,417.2,320.2,0,0,0,0,0,3,28,0,136,1834,10,3,,,,
2,Julio Jones\JoneJu02,WR,26,2015,NFL,ATL,16,8,8,0,233.10,369.1,403.1,307.1,0,0,0,0,0,0,0,0,136,1871,8,3,,,,
3,Brandon Marshall\MarsBr00,WR,31,2015,NFL,NYJ,16,10,6,0,230.20,339.2,371.2,284.7,0,0,0,0,0,0,0,0,109,1502,14,3,,,,
4,DeAndre Hopkins\HopkDe00,WR,23,2015,NFL,HTX,16,9,7,0,220.10,331.1,349.1,275.6,0,0,0,0,0,0,0,0,111,1521,11,1,,,,
5,Odell Beckham\BeckOd00,WR,22,2015,NFL,NYG,15,6,9,0,223.30,319.3,343.3,271.3,0,0,0,0,0,1,3,0,96,1450,13,2,,,,
6,Allen Robinson\RobiAl02,WR,22,2015,NFL,JAX,16,5,11,0,224.00,304.0,322.0,264.0,0,0,0,0,0,0,0,0,80,1400,14,0,,,,
7,Larry Fitzgerald\FitzLa00,WR,32,2015,NFL,CRD,16,13,3,0,171.50,280.5,291.5,226.0,0,0,0,0,0,0,0,0,109,1215,9,2,,,,
8,Jarvis Landry\LandJa00,WR,22,2015,NFL,MIA,16,6,10,0,165.36,275.4,284.4,220.4,1,1,9,0,0,18,113,1,110,1157,4,1,,,,
9,A.J. Green\GreeA.00,WR,27,2015,NFL,CIN,16,12,4,0,187.70,273.7,286.7,230.7,0,0,0,0,0,0,0,0,86,1297,10,1,,,,
10,Doug Baldwin\BaldDo00,WR,26,2015,NFL,SEA,16,10,6,0,190.90,268.9,277.9,229.9,0,0,0,0,0,0,0,0,78,1069,14,1,,,,
11,Demaryius Thomas\ThomDe03,WR,27,2015,NFL,DEN,16,12,4,0,162.40,267.4,281.4,214.9,0,0,0,0,0,0,0,0,105,1304,6,2,,,,
12,Calvin Johnson\JohnCa00,WR,29,2015,NFL,DET,16,7,9,0,173.40,261.4,268.4,217.4,0,0,0,0,0,0,0,0,88,1214,9,1,,,,
13,Brandin Cooks\CookBr00,WR,21,2015,NFL,NOR,16,7,9,0,169.60,253.6,265.6,211.6,0,0,0,0,0,8,18,0,84,1138,9,1,,,,
14,Eric Decker\DeckEr00,WR,28,2015,NFL,NYJ,15,10,5,0,172.70,252.7,256.7,212.7,0,0,0,0,0,0,0,0,80,1027,12,1,,,,
