,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Rob Gronkowski\GronRo00,TE,26,2015,NFL,NWE,15,12,3,0,183.60,255.6,270.6,219.6,0,0,0,0,0,0,0,0,72,1176,11,0,,,,
2,Delanie Walker\WalkHu00,TE,31,2015,NFL,OTI,15,3,12,0,150.40,244.4,247.4,197.4,0,0,0,0,0,1,36,0,94,1088,6,0,,,,
3,Jordan Reed\ReedJo02,TE,25,2015,NFL,WAS,14,9,5,0,157.20,244.2,252.2,200.7,0,0,0,0,0,0,0,0,87,952,11,3,,,,
4,Gary Barnidge\BarnGa01,TE,29,2015,NFL,CLE,16,3,13,0,158.30,237.3,246.3,197.8,0,0,0,0,0,0,0,0,79,1043,9,0,,,,
5,Greg Olsen\OlseGr00,TE,30,2015,NFL,CAR,16,15,1,0,150.40,227.4,237.4,188.9,0,0,0,0,0,0,0,0,77,1104,7,1,,,,
6,Tyler Eifert\EifeTy00,TE,25,2015,NFL,CIN,13,10,3,0,139.50,191.5,194.5,165.5,0,0,0,0,0,0,0,0,52,615,13,0,,,,
7,Ben Watson\WatsBe00,TE,34,2015,NFL,NOR,16,7,9,0,116.50,190.5,197.5,153.5,0,0,0,0,0,0,0,0,74,825,6,1,,,,
8,Travis Kelce\KelcTr00,TE,25,2015,NFL,KAN,16,11,5,0,117.50,189.5,194.5,153.5,0,0,0,0,0,0,0,0,72,875,5,2,,,,
9,Zach Ertz\ErtzZa00,TE,24,2015,NFL,PHI,15,7,8,0,95.30,170.3,177.3,132.8,0,0,0,0,0,0,0,0,75,853,2,1,,,,
