,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Antonio Brown\BrowAn04,WR,28,2016,NFL,PIT,15,10,5,0,201.30,307.3,319.3,254.3,0,0,0,0,0,3,9,0,106,1284,12,0,,,,
2,Jordy Nelson\NelsJo00,WR,31,2016,NFL,GNB,16,10,6,0,207.70,304.7,320.7,256.2,0,0,0,0,0,0,0,0,97,1257,14,1,,,,
3,Mike Evans\EvanMi00,WR,23,2016,NFL,TAM,16,9,7,0,208.10,304.1,316.1,256.1,0,0,0,0,0,0,0,0,96,1321,12,0,,,,
4,Odell Beckham\BeckOd00,WR,23,2016,NFL,NYG,16,11,5,0,195.60,296.6,309.6,246.1,0,0,0,0,0,1,9,0,101,1367,10,3,,,,
5,T.Y. Hilton\HiltT.00,WR,26,2016,NFL,CLT,16,8,8,0,182.80,273.8,291.8,228.3,0,0,0,0,0,0,0,0,91,1448,6,0,,,,
6,Julio Jones\JoneJu02,WR,27,2016,NFL,ATL,14,9,5,0,176.90,259.9,280.9,218.4,0,0,0,0,0,0,0,0,83,1409,6,0,,,,
7,Michael Thomas\ThomMi05,WR,23,2016,NFL,NOR,15,7,8,0,163.70,255.7,266.7,209.7,0,0,0,0,0,0,0,0,92,1137,9,2,,,,
8,Doug Baldwin\BaldDo00,WR,27,2016,NFL,SEA,16,10,5,1,159.60,253.6,262.6,206.6,1,1,15,1,0,3,2,0,94,1128,7,1,,,,
9,Davante Adams\AdamDa01,WR,23,2016,NFL,GNB,16,10,6,0,171.70,246.7,259.7,209.2,0,0,0,0,0,0,0,0,75,997,12,2,,,,
10,Brandin Cooks\CookBr00,WR,22,2016,NFL,NOR,16,7,9,0,168.30,246.3,255.3,207.3,0,0,0,0,0,6,30,0,78,1173,8,1,,,,
11,Larry Fitzgerald\FitzLa00,WR,33,2016,NFL,CRD,16,7,8,1,136.80,243.8,247.8,190.3,0,1,0,0,0,2,5,0,107,1023,6,2,,,,
12,Michael Crabtree\CrabMi00,WR,28,2016,NFL,RAI,16,12,4,0,150.30,239.3,248.3,194.8,0,0,0,0,0,0,0,0,89,1003,8,2,,,,
13,Amari Cooper\CoopAm00,WR,22,2016,NFL,RAI,16,12,4,0,149.30,232.3,244.3,190.8,0,0,0,0,0,1,0,0,83,1153,5,2,,,,
14,Jarvis Landry\LandJa00,WR,23,2016,NFL,MIA,16,10,6,0,137.30,231.3,245.3,184.3,0,1,0,0,0,5,17,0,94,1136,4,2,,,,
15,Julian Edelman\EdelJu00,WR,30,2016,NFL,NWE,16,14,2,0,132.30,230.3,238.3,181.3,0,0,0,0,0,12,57,0,98,1106,3,3,,,,
16,Demaryius Thomas\ThomDe03,WR,28,2016,NFL,DEN,16,9,7,0,136.30,226.3,234.3,181.3,0,0,0,0,0,0,0,0,90,1083,5,2,,,,
17,Golden Tate\TateGo00,WR,28,2016,NFL,DET,16,9,7,0,132.10,223.1,233.1,177.6,0,0,0,0,0,10,4,0,91,1077,4,2,,,,
18,Tyreek Hill\HillTy00,WR,22,2016,NFL,KAN,16,12,4,0,156.00,217.0,218.0,186.5,0,0,0,0,0,24,267,3,61,593,6,4,,,,
19,Tyrell Williams\WillTy00,WR,24,2016,NFL,SDG,16,5,11,0,147.90,216.9,225.9,182.4,0,0,0,0,0,0,0,0,69,1059,7,0,,,,
20,Terrelle Pryor\PryoTe00,WR,27,2016,NFL,CLE,16,1,15,0,136.44,213.4,222.4,174.9,5,9,41,0,0,8,21,1,77,1007,4,1,,,,
21,Emmanuel Sanders\SandEm00,WR,29,2016,NFL,DEN,16,9,7,0,133.60,212.6,221.6,173.1,0,0,0,0,0,1,4,0,79,1032,5,1,,,,
22,Rishard Matthews\MattRi00,WR,26,2016,NFL,OTI,16,9,7,0,146.50,211.5,221.5,179.0,0,0,0,0,0,0,0,0,65,945,9,1,,,,
23,Mike Wallace\WallMi00,WR,30,2016,NFL,RAV,16,8,8,0,130.80,202.8,208.8,166.8,0,0,0,0,0,5,31,0,72,1017,4,1,,,,
24,Pierre Garcon\GarcPi00,WR,30,2016,NFL,WAS,16,8,7,1,122.10,201.1,204.1,161.6,0,0,0,0,0,0,0,0,79,1041,3,0,,,,
25,Allen Robinson\RobiAl02,WR,23,2016,NFL,JAX,16,3,13,0,126.30,199.3,205.3,162.8,0,0,0,0,0,0,0,0,73,883,6,1,,,,
26,Jamison Crowder\CrowJa00,WR,23,2016,NFL,WAS,16,8,7,1,130.50,197.5,207.5,164.0,0,0,0,0,0,2,-2,0,67,847,7,2,,,,
