,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Travis Kelce\KelcTr00,TE,28,2018,NFL,KAN,16,12,4,0,191.60,294.6,310.6,243.1,0,0,0,0,0,0,0,0,103,1336,10,2,,,,
2,Zach Ertz\ErtzZa00,TE,27,2018,NFL,PHI,16,9,7,0,164.30,280.3,295.3,222.3,0,0,0,0,0,0,0,0,116,1163,8,1,,,,
3,George Kittle\KittGe00,TE,24,2018,NFL,SFO,16,4,12,0,170.70,258.7,270.7,214.7,0,0,0,0,0,1,10,0,88,1377,5,0,,,,
4,Eric Ebron\EbroEr00,TE,25,2018,NFL,CLT,16,10,6,0,156.20,222.2,226.2,189.2,0,1,0,0,0,3,-8,1,66,750,13,1,,,,
5,Jared Cook\CookJa02,TE,31,2018,NFL,RAI,16,4,12,0,125.60,193.6,205.6,159.6,0,0,0,0,0,0,0,0,68,896,6,0,,,,
6,Austin Hooper\HoopAu00,TE,23,2018,NFL,ATL,16,7,9,0,92.00,163.0,163.0,127.5,0,0,0,0,0,0,0,0,71,660,4,0,,,,
7,Kyle Rudolph\RudoKy00,TE,28,2018,NFL,MIN,16,8,7,1,87.40,151.4,154.4,119.4,0,0,0,0,0,0,0,0,64,634,4,0,,,,
8,Trey Burton\BurtTr01,TE,26,2018,NFL,CHI,16,12,4,0,93.10,147.1,151.1,120.1,0,0,0,0,0,1,2,0,54,569,6,1,,,,
9,David Njoku\NjokDa00,TE,22,2018,NFL,CLE,16,7,8,1,87.90,143.9,143.9,115.9,0,0,0,0,0,0,0,0,56,639,4,0,,,,
10,Vance McDonald\McDoVa00,TE,28,2018,NFL,PIT,15,9,6,0,83.00,133.0,137.0,108.0,0,0,0,0,0,0,0,0,50,610,4,2,,,,
11,Rob Gronkowski\GronRo00,TE,29,2018,NFL,NWE,13,9,4,0,84.20,131.2,138.2,107.7,0,0,0,0,0,0,0,0,47,682,3,1,,,,
12,Jimmy Graham\GrahJi00,TE,31,2018,NFL,GNB,16,6,9,1,75.60,130.6,133.6,103.1,0,0,0,0,0,0,0,0,55,636,2,0,,,,
13,Evan Engram\EngrEv00,TE,24,2018,NFL,NYG,11,4,7,0,81.30,126.3,126.3,103.8,0,0,0,0,0,3,36,0,45,577,3,0,,,,
14,O.J. Howard\HowaO.00,TE,23,2018,NFL,TAM,10,3,7,0,86.50,120.5,120.5,103.5,0,0,0,0,0,0,0,0,34,565,5,0,,,,
15,Jordan Reed\ReedJo02,TE,28,2018,NFL,WAS,13,6,7,0,65.80,119.8,120.8,92.8,0,0,0,0,0,0,0,0,54,558,2,1,,,,
16,Chris Herndon\HernCh00,TE,22,2018,NFL,NYJ,16,4,12,0,74.30,113.2,113.2,93.7,0,0,0,0,0,0,0,0,39,502,4,2,,,,
17,Mark Andrews\AndrMa00,TE,22,2018,NFL,RAV,16,10,6,0,73.20,107.2,107.2,90.2,0,0,0,0,0,0,0,0,34,552,3,0,,,,
18,C.J. Uzomah\UzomC.00,TE,25,2018,NFL,CIN,16,6,10,0,61.90,104.9,104.9,83.4,0,0,0,0,0,0,0,0,43,439,3,0,,,,
19,Cameron Brate\BratCa00,TE,27,2018,NFL,TAM,16,5,11,0,62.90,92.9,93.9,77.9,0,0,0,0,0,0,0,0,30,289,6,1,,,,
20,Dallas Goedert\GoedDa00,TE,23,2018,NFL,PHI,16,9,7,0,57.40,90.4,90.4,73.9,0,0,0,0,0,0,0,0,33,334,4,0,,,,
21,Ben Watson\WatsBe00,TE,37,2018,NFL,NOR,16,13,3,0,52.00,87.0,87.0,69.5,0,0,0,0,0,0,0,0,35,400,2,0,,,,
22,Gerald Everett\EverGe00,TE,24,2018,NFL,RAM,16,13,3,0,54.10,86.6,86.6,70.1,0,0,0,0,0,2,16,0,33,320,3,0,,,,
23,Jesse James\JameJe00,TE,24,2018,NFL,PIT,16,9,6,1,54.30,84.3,87.3,69.3,0,0,0,0,0,0,0,0,30,423,2,0,,,,
24,Ian Thomas\ThomIa00,TE,22,2018,NFL,CAR,16,7,9,0,45.30,81.3,81.3,63.3,0,0,0,0,0,0,0,0,36,333,2,0,,,,
25,Greg Olsen\OlseGr00,TE,33,2018,NFL,CAR,9,4,5,0,53.10,80.1,80.1,66.6,0,0,0,0,0,0,0,0,27,291,4,0,,,,
26,Vernon Davis\DaviVe00,TE,34,2018,NFL,WAS,14,7,7,0,50.70,75.7,75.7,63.2,0,0,0,0,0,0,0,0,25,367,2,0,,,,
27,Blake Jarwin\JarwBl00,TE,24,2018,NFL,DAL,16,10,6,0,48.70,75.7,78.7,62.2,0,0,0,0,0,0,0,0,27,307,3,0,,,,
28,Antonio Gates\GateAn00,TE,38,2018,NFL,SDG,16,12,4,0,45.30,75.3,76.3,61.3,0,0,0,0,0,0,0,0,28,333,2,1,,,,
29,Ricky Seals-Jones\SealRi00,TE,23,2018,NFL,CRD,15,3,12,0,40.30,74.3,74.3,57.3,0,0,0,0,0,0,0,0,34,343,1,0,,,,
30,Nick Vannett\VannNi00,TE,25,2018,NFL,SEA,15,9,6,0,44.90,73.9,73.9,59.4,0,0,0,0,0,0,0,0,29,269,3,1,,,,
31,Jeff Heuerman\HeueJe00,TE,25,2018,NFL,DEN,11,5,6,0,40.10,71.1,71.1,55.6,0,0,0,0,0,0,0,0,31,281,2,0,,,,
32,Jordan Thomas\ThomJo05,TE,22,2018,NFL,HTX,16,11,5,0,45.50,65.5,65.5,55.5,0,0,0,0,0,0,0,0,20,215,4,0,,,,
33,Tyler Higbee\HigbTy00,TE,25,2018,NFL,RAM,16,13,3,0,41.20,65.2,65.2,53.2,0,0,0,0,0,0,0,0,24,292,2,1,,,,
34,Jonnu Smith\SmitJo01,TE,23,2018,NFL,OTI,13,7,6,0,43.80,63.8,63.8,53.8,0,0,0,0,0,0,0,0,20,258,3,1,,,,
35,Jack Doyle\DoylJa00,TE,28,2018,NFL,CLT,6,5,1,0,34.50,60.5,61.5,47.5,0,0,0,0,0,0,0,0,26,245,2,1,,,,
36,Rhett Ellison\ElliRh00,TE,29,2018,NFL,NYG,14,5,9,0,35.20,60.2,60.2,47.7,0,0,0,0,0,0,0,0,25,272,1,0,,,,
37,Geoff Swaim\SwaiGe00,TE,24,2018,NFL,DAL,9,5,4,0,30.20,56.2,56.2,43.2,0,0,0,0,0,0,0,0,26,242,1,0,,,,
38,Matt LaCosse\LaCoMa00,TE,25,2018,NFL,DEN,15,6,9,0,31.00,55.0,55.0,43.0,0,0,0,0,0,0,0,0,24,250,1,0,,,,
39,Ryan Griffin\GrifRy00,TE,28,2018,NFL,HTX,14,9,5,0,30.60,54.5,54.5,42.5,0,0,0,0,0,0,0,0,24,305,0,0,,,,
40,Levine Toilolo\ToilLe00,TE,27,2018,NFL,DET,16,6,10,0,32.30,53.3,53.3,42.8,0,0,0,0,0,0,0,0,21,263,1,0,,,,
41,Jason Croom\CrooJa00,TE,24,2018,NFL,BUF,15,6,9,0,27.90,49.9,57.9,44.9,0,0,0,0,0,0,0,0,22,259,1,2,,,,
42,Anthony Firkser\FirkAn00,TE,23,2018,NFL,OTI,12,7,5,0,28.50,47.5,47.5,38.0,0,0,0,0,0,0,0,0,19,225,1,0,,,,
43,Demetrius Harris\HarrDe03,TE,27,2018,NFL,KAN,15,11,4,0,34.40,46.4,46.4,40.4,0,0,0,0,0,0,0,0,12,164,3,0,,,,
