,,,,,,,,,,Misc,Misc,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,
Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,College/Univ,
38,2018,1,10,Josh Rosen\RoseJo01,QB,21,ARI,2018,2019,0,0,1,3,20,16,3-13-0,275,502,2845,12,19,26,151,0,,,,UCLA,College Stats
39,2018,1,24,D.J. Moore\MoorD.00,WR,21,CAR,2018,2019,0,0,2,16,31,25,,,,,,,19,212,0,142,1963,6,Maryland,College Stats
40,2018,1,25,Hayden Hurst\HursHa00,TE,25,BAL,2018,2019,0,0,0,6,28,4,,,,,,,1,0,0,43,512,3,South Carolina,College Stats
41,2018,1,26,Calvin Ridley\RidlCa00,WR,23,ATL,2018,2019,0,0,1,14,29,15,,,,,,,8,61,0,127,1687,17,Alabama,College Stats
42,2018,1,27,Rashaad Penny\PennRa00,RB,22,SEA,2018,2019,0,0,0,7,24,0,,,,,,,150,789,5,17,158,1,San Diego St.,College Stats
43,2018,1,31,Sony Michel\MichSo00,RB,23,NWE,2018,2019,0,0,2,12,29,22,,,,,,,456,1843,13,19,144,0,Georgia,College Stats
44,2018,1,32,Lamar Jackson\JackLa00,QB,21,BAL,2018,2019,1,1,1,33,31,22,19-3-0,364,571,4328,42,9,323,1901,12,,,,Louisville,College Stats
45,2018,2,35,Nick Chubb\ChubNi00,RB,22,CLE,2018,2019,0,1,2,18,32,25,,,,,,,490,2490,16,56,427,2,Georgia,College Stats
46,2018,2,38,Ronald Jones\JoneRo01,RB,21,TAM,2018,2019,0,0,1,7,25,9,,,,,,,195,768,7,38,342,0,USC,College Stats
47,2018,2,40,Courtland Sutton\SuttCo00,WR,22,DEN,2018,2019,0,1,1,14,32,23,,1,1,38,0,0,4,16,0,114,1816,10,SMU,College Stats
48,2018,2,42,Mike Gesicki\GesiMi00,TE,22,MIA,2018,2019,0,0,0,6,32,12,,,,,,,,,,73,772,5,Penn St.,College Stats
49,2018,2,43,Kerryon Johnson\JohnKe06,RB,21,DET,2018,2019,0,0,1,8,18,14,,,,,,,231,1044,6,42,340,2,Auburn,College Stats
50,2018,2,44,Dante Pettis\PettDa00,WR,22,SFO,2018,2019,0,0,0,4,23,11,,1,1,16,0,0,1,-2,0,38,576,7,Washington,College Stats
51,2018,2,47,Christian Kirk\KirkCh01,WR,21,ARI,2018,2019,0,0,2,11,25,20,,,,,,,13,128,0,111,1299,6,Texas A&M,College Stats
52,2018,2,49,Dallas Goedert\GoedDa00,TE,23,PHI,2018,2019,0,0,2,8,31,17,,,,,,,,,,91,941,9,South Dakota St.,
53,2018,2,51,Anthony Miller\MillAn02,WR,23,CHI,2018,2019,0,0,1,9,31,11,,1,1,8,0,0,7,25,0,85,1079,9,Memphis,College Stats
54,2018,2,59,Derrius Guice\GuicDe00,RB,21,WAS,2019,2019,0,0,0,2,5,1,,,,,,,42,245,2,7,79,1,LSU,College Stats
55,2018,2,60,James Washington\WashJa00,WR,22,PIT,2018,2019,0,0,1,8,29,16,,,,,,,,,,60,952,4,Oklahoma St.,College Stats
56,2018,2,61,DJ Chark\CharDJ00,WR,21,JAX,2018,2019,0,1,1,8,26,14,,,,,,,2,20,0,87,1182,8,LSU,College Stats
57,2018,3,71,Royce Freeman\FreeRo00,RB,22,DEN,2018,2019,0,0,0,8,30,8,,,,,,,262,1017,8,57,328,1,Oregon,College Stats
58,2018,3,76,Mason Rudolph\RudoMa00,QB,23,PIT,2019,2019,0,0,1,3,10,8,5-3-0,176,283,1765,13,9,21,42,0,,,,Oklahoma St.,College Stats
59,2018,3,81,Michael Gallup\GallMi00,WR,22,DAL,2018,2019,0,0,2,13,30,20,,,,,,,,,,99,1614,8,Colorado St.,College Stats
