,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,David Johnson\JohnDa08,RB,24,2016,NFL,CRD,16,7,8,1,327.80,407.8,425.8,367.8,0,0,0,0,0,293,1239,16,80,879,4,5,,,,
2,Ezekiel Elliott\ElliEz00,RB,21,2016,NFL,DAL,15,13,2,0,293.40,325.4,347.4,309.4,0,0,0,0,0,322,1631,15,32,363,1,5,,,,
3,Le'Veon Bell\BellLe00,RB,24,2016,NFL,PIT,12,8,4,0,242.40,317.4,336.4,279.9,0,1,0,0,0,261,1268,7,75,616,2,4,,,,
4,LeSean McCoy\McCoLe01,RB,28,2016,NFL,BUF,15,7,8,0,248.30,298.3,319.3,273.3,0,0,0,0,0,234,1267,13,50,356,1,3,,,,
5,DeMarco Murray\MurrDe00,RB,28,2016,NFL,OTI,16,9,7,0,240.80,293.8,309.8,267.3,1,2,10,1,0,293,1287,9,53,377,3,3,,,,
6,Devonta Freeman\FreeDe00,RB,24,2016,NFL,ATL,16,11,5,0,230.10,284.1,291.1,257.1,0,0,0,0,0,227,1079,11,54,462,2,1,,,,
7,Melvin Gordon\GordMe00,RB,23,2016,NFL,SDG,13,5,8,0,209.60,250.6,261.6,230.1,0,0,0,0,0,254,997,10,41,419,2,2,,,,
8,Mark Ingram\IngrMa01,RB,26,2016,NFL,NOR,16,7,9,0,196.20,242.2,253.2,219.2,0,0,0,0,0,205,1043,6,46,319,4,2,,,,
9,LeGarrette Blount\BlouLe00,RB,29,2016,NFL,NWE,16,14,2,0,225.90,232.9,245.9,229.4,0,0,0,0,0,299,1161,18,7,38,0,2,,,,
