,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Jimmy Graham\GrahJi00,TE,26,2013,NFL,NOR,16,11,5,0,217.50,303.5,321.5,260.5,0,0,0,0,0,0,0,0,86,1215,16,0,,,,
2,Tony Gonzalez*\GonzTo00,TE,37,2013,NFL,ATL,16,4,12,0,135.90,218.9,221.9,177.4,0,0,0,0,0,0,0,0,83,859,8,0,,,,
3,Julius Thomas\ThomJu00,TE,25,2013,NFL,DEN,14,12,2,0,150.80,215.8,221.8,183.3,0,0,0,0,0,0,0,0,65,788,12,0,,,,
4,Jordan Cameron\CameJo00,TE,25,2013,NFL,CLE,15,4,11,0,133.70,213.7,219.7,173.7,0,0,0,0,0,0,0,0,80,917,7,1,,,,
5,Vernon Davis\DaviVe00,TE,29,2013,NFL,SFO,15,12,3,0,161.00,213.0,217.0,187.0,0,0,0,0,0,0,0,0,52,850,13,1,,,,
6,Jason Witten\WittJa00,TE,31,2013,NFL,DAL,16,8,8,0,133.10,206.1,215.1,169.6,0,0,0,0,0,0,0,0,73,851,8,0,,,,
7,Greg Olsen\OlseGr00,TE,28,2013,NFL,CAR,16,12,4,0,117.60,190.6,190.6,154.1,0,0,0,0,0,0,0,0,73,816,6,0,,,,
8,Charles Clay\ClayCh00,TE,24,2013,NFL,MIA,16,8,8,0,119.40,188.4,191.4,153.9,0,0,0,0,0,7,15,1,69,759,6,0,,,,
9,Antonio Gates\GateAn00,TE,33,2013,NFL,SDG,16,9,7,0,107.20,184.2,192.2,145.7,0,0,0,0,0,0,0,0,77,872,4,2,,,,
10,Martellus Bennett\BennMa00,TE,26,2013,NFL,CHI,16,8,8,0,103.90,168.9,169.9,136.4,0,0,0,0,0,0,0,0,65,759,5,1,,,,
11,Delanie Walker\WalkHu00,TE,29,2013,NFL,OTI,15,7,8,0,93.10,153.1,153.1,123.1,0,0,0,0,0,0,0,0,60,571,6,1,,,,
12,Jared Cook\CookJa02,TE,26,2013,NFL,RAM,16,7,9,0,95.10,146.1,150.1,120.6,0,0,0,0,0,0,0,0,51,671,5,1,,,,
13,Tim Wright\WrigTi01,TE,23,2013,NFL,TAM,16,4,12,0,87.30,141.3,141.3,114.3,0,0,0,0,0,1,2,0,54,571,5,0,,,,
14,Coby Fleener\FleeCo00,TE,24,2013,NFL,CLT,16,11,5,0,88.80,140.8,143.8,114.8,0,0,0,0,0,0,0,0,52,608,4,1,,,,
15,Garrett Graham\GrahGa00,TE,27,2013,NFL,HTX,13,2,11,0,82.50,131.5,135.5,107.0,0,0,0,0,0,0,0,0,49,545,5,2,,,,
16,Scott Chandler\ChanSc00,TE,28,2013,NFL,BUF,16,6,10,0,75.50,128.5,129.5,102.0,0,0,0,0,0,0,0,0,53,655,2,1,,,,
17,Brandon Myers\MyerBr00,TE,28,2013,NFL,NYG,16,7,9,0,76.20,123.2,123.2,99.7,0,0,0,0,0,0,0,0,47,522,4,0,,,,
18,Rob Gronkowski\GronRo00,TE,24,2013,NFL,NWE,7,5,2,0,83.20,122.2,131.2,102.7,0,0,0,0,0,0,0,0,39,592,4,0,,,,
19,Heath Miller\MillHe00,TE,30,2013,NFL,PIT,14,8,6,0,63.30,121.3,122.3,92.3,0,0,0,0,0,0,0,0,58,593,1,1,,,,
20,Brent Celek\CeleBr00,TE,28,2013,NFL,PHI,16,10,6,0,84.20,116.2,117.2,100.2,0,0,0,0,0,0,0,0,32,502,6,1,,,,
21,Jordan Reed\ReedJo02,TE,23,2013,NFL,WAS,9,2,7,0,69.70,114.7,117.7,92.2,0,0,0,0,0,1,18,0,45,499,3,0,,,,
22,Jermaine Gresham\GresJe00,TE,25,2013,NFL,CIN,14,10,4,0,63.80,109.8,112.8,86.8,0,0,0,0,0,0,0,0,46,458,4,3,,,,
23,Zach Ertz\ErtzZa00,TE,22,2013,NFL,PHI,16,10,6,0,70.90,106.9,106.9,88.9,0,0,0,0,0,0,0,0,36,469,4,0,,,,
24,Mychal Rivera\RiveMy00,TE,23,2013,NFL,RAI,16,4,12,0,64.70,102.7,102.7,83.7,0,0,0,0,0,0,0,0,38,407,4,0,,,,
25,Zach Miller\MillZa01,TE,27,2013,NFL,SEA,14,12,2,0,68.70,101.7,101.7,85.2,0,0,0,0,0,0,0,0,33,387,5,0,,,,
26,Tyler Eifert\EifeTy00,TE,23,2013,NFL,CIN,15,10,5,0,56.50,95.5,95.5,76.0,0,0,0,0,0,0,0,0,39,445,2,0,,,,
27,Brandon Pettigrew\PettBr00,TE,28,2013,NFL,DET,14,7,7,0,51.60,92.6,93.6,72.1,0,0,0,0,0,0,0,0,41,416,2,1,,,,
28,Rob Housler\HousRo01,TE,25,2013,NFL,CRD,13,8,5,0,51.40,90.4,90.4,70.9,0,0,0,0,0,0,0,0,39,454,1,1,,,,
29,Jeff Cumberland\CumbJe00,TE,26,2013,NFL,NYJ,15,7,8,0,63.80,89.8,89.8,76.8,0,0,0,0,0,0,0,0,26,398,4,0,,,,
