,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Travis Kelce\KelcTr00,TE,26,2016,NFL,KAN,16,12,4,0,138.00,223.0,241.0,180.5,0,0,0,0,0,1,-5,0,85,1125,4,0,,,,
2,Kyle Rudolph\RudoKy00,TE,26,2016,NFL,MIN,16,8,8,0,126.00,209.0,212.0,167.5,0,0,0,0,0,0,0,0,83,840,7,0,,,,
3,Greg Olsen\OlseGr00,TE,31,2016,NFL,CAR,16,6,10,0,127.30,207.3,213.3,167.3,0,0,0,0,0,0,0,0,80,1073,3,0,,,,
4,Jimmy Graham\GrahJi00,TE,29,2016,NFL,SEA,16,10,5,1,124.30,189.3,200.3,156.8,0,0,0,0,0,1,0,0,65,923,6,2,,,,
5,Delanie Walker\WalkHu00,TE,32,2016,NFL,OTI,15,9,6,0,123.10,188.1,191.1,155.6,0,0,0,0,0,2,11,0,65,800,7,1,,,,
6,Zach Ertz\ErtzZa00,TE,25,2016,NFL,PHI,14,5,9,0,105.60,183.6,189.6,144.6,0,0,0,0,0,0,0,0,78,816,4,0,,,,
7,Cameron Brate\BratCa00,TE,25,2016,NFL,TAM,15,8,7,0,114.00,171.0,171.0,142.5,0,0,0,0,0,0,0,0,57,660,8,1,,,,
8,Dennis Pitta\PittDe00,TE,31,2016,NFL,RAV,16,8,8,0,82.90,168.9,172.9,125.9,0,0,0,0,0,0,0,0,86,729,2,1,,,,
9,Jordan Reed\ReedJo02,TE,26,2016,NFL,WAS,12,6,5,1,102.60,168.6,169.6,135.6,0,0,0,0,0,0,0,0,66,686,6,1,,,,
10,Martellus Bennett\BennMa00,TE,29,2016,NFL,NWE,16,14,2,0,113.10,168.1,177.1,140.6,0,0,0,0,0,2,10,0,55,701,7,0,,,,
11,Jason Witten\WittJa00,TE,34,2016,NFL,DAL,16,13,3,0,83.30,152.3,156.3,117.8,0,0,0,0,0,0,0,0,69,673,3,1,,,,
12,Antonio Gates\GateAn00,TE,36,2016,NFL,SDG,14,5,9,0,94.80,147.8,148.8,121.3,0,0,0,0,0,0,0,0,53,548,7,1,,,,
13,Jack Doyle\DoylJa00,TE,26,2016,NFL,CLT,16,8,8,0,86.40,145.4,146.4,115.9,0,0,0,0,0,0,0,0,59,584,5,1,,,,
14,Eric Ebron\EbroEr00,TE,23,2016,NFL,DET,13,6,7,0,83.20,144.2,144.2,113.7,0,0,0,0,0,1,1,1,61,711,1,0,,,,
15,Coby Fleener\FleeCo00,TE,27,2016,NFL,NOR,16,7,9,0,87.30,137.3,140.3,112.3,0,0,0,0,0,1,2,1,50,631,3,2,,,,
16,Charles Clay\ClayCh00,TE,27,2016,NFL,BUF,15,7,8,0,79.20,136.2,136.2,107.7,0,0,0,0,0,0,0,0,57,552,4,0,,,,
17,C.J. Fiedorowicz\FiedC.00,TE,24,2016,NFL,HTX,15,8,7,0,79.90,133.9,133.9,106.9,0,0,0,0,0,0,0,0,54,559,4,1,,,,
18,Gary Barnidge\BarnGa01,TE,30,2016,NFL,CLE,16,1,15,0,75.20,130.2,130.2,102.7,0,0,0,0,0,0,0,0,55,612,2,0,,,,
19,Hunter Henry\HenrHu00,TE,21,2016,NFL,SDG,15,4,11,0,93.80,129.8,130.8,111.8,0,0,0,0,0,0,0,0,36,478,8,1,,,,
20,Zach Miller\MillZa02,TE,31,2016,NFL,CHI,10,2,8,0,72.60,119.6,119.6,96.1,0,0,0,0,0,0,0,0,47,486,4,0,,,,
21,Vernon Davis\DaviVe00,TE,32,2016,NFL,WAS,16,8,7,1,70.30,114.3,114.3,92.3,0,0,0,0,0,0,0,0,44,583,2,0,,,,
22,Dwayne Allen\AlleDw00,TB,26,2016,NFL,CLT,14,7,7,0,78.60,113.6,113.6,96.1,0,0,0,0,0,0,0,0,35,406,6,1,,,,
23,Lance Kendricks\KendLa00,TE,28,2016,NFL,RAM,16,4,12,0,59.90,109.9,110.9,84.9,0,0,0,0,0,0,0,0,50,499,2,1,,,,
24,Ryan Griffin\GrifRy00,TE,26,2016,NFL,HTX,16,9,7,0,54.20,104.2,105.2,79.2,0,0,0,0,0,0,0,0,50,442,2,1,,,,
25,Tyler Eifert\EifeTy00,TE,26,2016,NFL,CIN,8,3,4,1,69.40,98.4,101.4,83.9,0,0,0,0,0,0,0,0,29,394,5,0,,,,
26,Rob Gronkowski\GronRo00,TE,27,2016,NFL,NWE,8,6,2,0,72.00,97.0,106.0,84.5,0,0,0,0,0,0,0,0,25,540,3,0,,,,
27,Will Tye\TyexWi00,TE,24,2016,NFL,NYG,16,11,5,0,45.50,93.5,93.5,69.5,0,0,0,0,0,0,0,0,48,395,1,0,,,,
28,Jesse James\JameJe00,TE,22,2016,NFL,PIT,16,11,5,0,51.80,90.8,90.8,71.3,0,0,0,0,0,0,0,0,39,338,3,0,,,,
29,Jermaine Gresham\GresJe00,TE,28,2016,NFL,CRD,16,7,8,1,51.10,88.1,88.1,69.6,0,0,0,0,0,0,0,0,37,391,2,1,,,,
30,Vance McDonald\McDoVa00,TE,26,2016,NFL,SFO,11,1,10,0,63.10,87.1,87.1,75.1,0,0,0,0,0,0,0,0,24,391,4,0,,,,
31,Clive Walford\WalfCl00,TE,24,2016,NFL,RAI,15,11,4,0,53.90,86.9,86.9,70.4,0,0,0,0,0,0,0,0,33,359,3,0,,,,
32,Julius Thomas\ThomJu00,TE,28,2016,NFL,JAX,9,1,8,0,52.10,82.1,82.1,67.1,0,0,0,0,0,0,0,0,30,281,4,0,,,,
33,Garrett Celek\CeleGa00,TE,28,2016,NFL,SFO,16,2,14,0,51.00,80.0,81.0,65.5,0,0,0,0,0,0,0,0,29,350,3,2,,,,
34,Trey Burton\BurtTr01,TE,24,2016,NFL,PHI,15,6,9,0,38.70,75.7,75.7,57.2,0,0,0,0,0,0,0,0,37,327,1,0,,,,
35,Dion Sims\SimsDi00,TE,25,2016,NFL,MIA,14,8,6,0,49.60,75.6,75.6,62.6,0,0,0,0,0,0,0,0,26,256,4,0,,,,
36,Jared Cook\CookJa02,TB,29,2016,NFL,GNB,10,8,2,0,41.70,71.7,75.7,56.7,0,0,0,0,0,0,0,0,30,377,1,1,,,,
37,Richard Rodgers\RodgRi00,TE,24,2016,NFL,GNB,16,10,6,0,39.10,69.1,69.1,54.1,0,0,0,0,0,0,0,0,30,271,2,0,,,,
38,Austin Hooper\HoopAu00,TE,21,2016,NFL,ATL,14,9,5,0,45.10,64.1,64.1,54.6,0,0,0,0,0,0,0,0,19,271,3,0,,,,
39,Jacob Tamme\TammJa00,TE,31,2016,NFL,ATL,8,5,3,0,39.00,61.0,61.0,50.0,0,0,0,0,0,0,0,0,22,210,3,0,,,,
40,Ladarius Green\GreeLa00,TE,26,2016,NFL,PIT,6,5,1,0,36.40,54.4,57.4,45.4,0,0,0,0,0,0,0,0,18,304,1,0,,,,
41,C.J. Uzomah\UzomC.00,TE,23,2016,NFL,CIN,10,4,6,0,29.40,54.4,54.4,41.9,0,0,0,0,0,0,0,0,25,234,1,0,,,,
42,Virgil Green\GreeVi00,TE,28,2016,NFL,DEN,12,7,5,0,29.70,51.7,51.7,40.7,0,0,0,0,0,0,0,0,22,237,1,0,,,,
43,Levine Toilolo\ToilLe00,TE,25,2016,NFL,ATL,16,11,5,0,38.40,51.4,51.4,44.9,0,0,0,0,0,0,0,0,13,264,2,0,,,,
44,Erik Swoope\SwooEr00,TE,24,2016,NFL,CLT,16,8,8,0,35.70,50.7,50.7,43.2,0,0,0,0,0,0,0,0,15,297,1,0,,,,
45,Mychal Rivera\RiveMy00,TE,26,2016,NFL,RAI,13,10,3,0,25.20,43.2,43.2,34.2,0,0,0,0,0,0,0,0,18,192,1,0,,,,
46,Marcedes Lewis\LewiMa00,TE,32,2016,NFL,JAX,10,2,8,0,23.00,42.9,42.9,32.9,0,0,0,0,0,0,0,0,20,169,1,0,,,,
47,Ben Koyack\KoyaBe00,TE,23,2016,NFL,JAX,14,2,12,0,22.10,41.1,41.1,31.6,0,0,0,0,0,0,0,0,19,161,1,0,,,,
48,Luke Willson\WillLu00,TE,26,2016,NFL,SEA,11,7,4,0,24.90,39.9,39.9,32.4,0,0,0,0,0,0,0,0,15,129,2,0,,,,
49,Demetrius Harris\HarrDe03,TE,25,2016,NFL,KAN,16,12,4,0,18.30,37.3,43.3,34.8,0,0,0,0,0,0,0,0,17,123,1,1,,,,
50,Josh Hill\HillJo02,TE,26,2016,NFL,NOR,9,4,5,0,20.90,35.9,35.9,28.4,0,0,0,0,0,0,0,0,15,149,1,0,,,,
51,Darren Fells\FellDa01,TE,30,2016,NFL,CRD,14,6,7,1,21.40,35.4,35.4,28.4,0,0,0,0,0,0,0,0,14,154,1,0,,,,
52,Xavier Grimble\GrimXa00,TE,23,2016,NFL,PIT,12,7,5,0,23.80,34.8,34.8,29.3,0,0,0,0,0,0,0,0,11,118,2,0,,,,
53,Seth Devalve\DevaSe00,TE,23,2016,NFL,CLE,12,1,11,0,24.70,34.7,34.7,29.7,0,0,0,0,0,0,0,0,10,127,2,0,,,,
54,Austin Seferian-Jenkins\SefeAu00,TE,23,2016,NFL,TOT,9,2,7,0,21.40,34.4,34.4,27.9,0,0,0,0,0,0,0,0,13,154,1,0,,,,
55,Jerell Adams\AdamJe01,TE,23,2016,NFL,NYG,13,9,4,0,18.20,34.2,34.2,26.2,0,0,0,0,0,0,0,0,16,122,1,1,,,,
56,MarQueis Gray\GrayMa00,TE,26,2016,NFL,MIA,16,10,6,0,17.40,31.4,31.4,24.4,0,0,0,0,0,0,0,0,14,174,0,0,,,,
57,Darren Waller\WallDa01,TE,24,2016,NFL,RAV,12,5,7,0,20.50,30.5,30.5,25.5,0,0,0,0,0,0,0,0,10,85,2,0,,,,
58,A.J. Derby\DerbA.00,TE,24,2016,NFL,TOT,10,5,5,0,14.00,30.0,31.0,22.0,0,0,0,0,0,0,0,0,16,160,0,1,,,,
59,Brent Celek\CeleBr00,TE,31,2016,NFL,PHI,16,7,9,0,15.50,29.5,29.5,22.5,0,0,0,0,0,0,0,0,14,155,0,1,,,,
60,Ed Dickson\DickEd00,TE,29,2016,NFL,CAR,16,6,10,0,19.40,29.4,29.4,24.4,0,0,0,0,0,0,0,0,10,134,1,0,,,,
61,Anthony Fasano\FasaAn00,TE,32,2016,NFL,OTI,16,9,7,0,20.30,28.3,28.3,24.3,0,0,0,0,0,0,0,0,8,83,2,0,,,,
62,Larry Donnell\DonnLa00,TE,27,2016,NFL,NYG,14,10,4,0,13.20,28.2,29.2,20.7,0,0,0,0,0,0,0,0,15,92,1,1,,,,
63,Stephen Anderson\AndeSt01,TE,23,2016,NFL,HTX,13,7,6,0,15.30,26.3,26.3,20.8,0,0,0,0,0,0,0,0,11,93,1,0,,,,
64,Tyler Higbee\HigbTy00,TE,23,2016,NFL,RAM,16,4,12,0,14.50,25.5,25.5,20.0,0,0,0,0,0,0,0,0,11,85,1,0,,,,
65,John Phillips\PhilJo00,TE,29,2016,NFL,TOT,16,9,7,0,13.20,23.2,23.2,18.2,0,0,0,0,0,0,0,0,10,72,1,0,,,,
66,Jeff Heuerman\HeueJe00,TE,23,2016,NFL,DEN,12,7,5,0,14.10,23.1,23.1,18.6,0,0,0,0,0,0,0,0,9,141,0,0,,,,
67,Neal Sterling\SterNe00,TE,24,2016,NFL,JAX,10,1,9,0,11.00,23.0,23.0,17.0,0,0,0,0,0,0,0,0,12,110,0,0,,,,
68,Nick O'Leary\OLeaNi00,TE,24,2016,NFL,BUF,16,7,9,0,13.40,22.4,22.4,17.9,0,0,0,0,0,0,0,0,9,114,0,0,,,,
69,Crockett Gillmore\GillCr00,TE,24,2016,NFL,RAV,7,3,4,0,13.10,21.1,21.1,17.1,0,0,0,0,0,0,0,0,8,71,1,0,,,,
70,Brandon Myers\MyerBr00,TE,31,2016,NFL,TAM,16,9,7,0,11.90,20.9,20.9,17.4,0,0,0,0,0,0,0,0,7,59,1,0,,,,
71,Rhett Ellison\ElliRh00,TE,27,2016,NFL,MIN,15,7,8,0,12.00,20.8,20.8,16.3,0,0,0,0,0,1,1,1,9,57,0,0,,,,
72,Jordan Cameron\CameJo00,TE,28,2016,NFL,MIA,3,1,2,0,12.00,20.0,20.0,16.0,0,0,0,0,0,0,0,0,8,60,1,0,,,,
73,Tyler Kroft\KrofTy00,TE,23,2016,NFL,CIN,14,5,8,1,9.20,19.2,19.2,14.2,0,0,0,0,0,0,0,0,10,92,0,0,,,,
74,Dominique Jones\JoneDo01,TE,29,2016,NFL,MIA,9,7,2,0,12.10,19.1,19.1,15.6,0,0,0,0,0,0,0,0,7,61,1,0,,,,
75,David Johnson\JohnDa05,TE,29,2016,NFL,PIT,16,11,5,0,8.00,17.0,17.0,13.5,0,0,0,0,0,0,0,0,7,80,0,0,,,,
76,Alan Cross\CrosAl00,TE,23,2016,NFL,TAM,14,8,6,0,9.80,15.8,15.8,12.8,0,0,0,0,0,0,0,0,6,38,1,0,,,,
77,Brandon Bostick\BostBr00,TE,27,2016,NFL,NYJ,16,5,11,0,6.30,14.3,14.3,10.3,0,0,0,0,0,0,0,0,8,63,0,0,,,,
78,Joshua Perkins\PerkJo02,TE,23,2016,NFL,ATL,8,6,2,0,10.20,13.2,13.2,11.7,0,0,0,0,0,0,0,0,3,42,1,0,,,,
79,Gavin Escobar\EscoGa00,TE,25,2016,NFL,DAL,16,13,3,0,9.00,13.0,13.0,11.0,0,0,0,0,0,0,0,0,4,30,1,0,,,,
80,Geoff Swaim\SwaiGe00,TE,22,2016,NFL,DAL,9,8,1,0,6.90,12.9,12.9,9.9,0,0,0,0,0,0,0,0,6,69,0,0,,,,
81,Blake Bell\BellBl00,TE,25,2016,NFL,SFO,13,1,12,0,8.50,12.5,12.5,10.5,0,0,0,0,0,0,0,0,4,85,0,0,,,,
82,Nick Boyle\BoylNi00,TE,23,2016,NFL,RAV,6,3,3,0,4.40,10.4,10.4,7.4,0,0,0,0,0,0,0,0,6,44,0,0,,,,
83,Matt Lengel\LengMa00,TE,25,2016,NFL,NWE,6,6,0,0,8.20,10.2,10.2,9.2,0,0,0,0,0,0,0,0,2,22,1,0,,,,
84,Phillip Supernaw\SupePh00,TE,26,2016,NFL,OTI,15,8,7,0,6.20,10.2,10.2,8.2,0,0,0,0,0,0,0,0,4,62,0,0,,,,
85,Jace Amaro\AmarJa00,TE,24,2016,NFL,OTI,3,1,2,0,5.90,8.9,8.9,7.4,0,0,0,0,0,0,0,0,3,59,0,0,,,,
86,Lee Smith\SmitLe00,TE,28,2016,NFL,RAI,4,3,1,0,2.90,8.9,8.9,5.9,0,0,0,0,0,0,0,0,6,29,0,0,,,,
87,Connor Hamlett\HamlCo01,TE,24,2016,NFL,CLE,3,0,3,0,7.70,8.7,8.7,8.2,0,0,0,0,0,0,0,0,1,17,1,0,,,,
88,Ben Braunecker\BrauBe00,TE,22,2016,NFL,CHI,13,3,10,0,4.10,8.1,8.1,6.1,0,0,0,0,0,0,0,0,4,41,0,0,,,,
89,Justin Perillo\PeriJu00,TE,25,2016,NFL,GNB,8,4,4,0,3.50,7.5,7.5,5.5,0,0,0,0,0,0,0,0,4,35,0,0,,,,
90,Luke Stocker\StocLu00,TE,28,2016,NFL,TAM,12,7,5,0,2.30,7.3,7.3,4.8,0,0,0,0,0,0,0,0,5,23,0,0,,,,
91,D.J. Tialavea\TialD.00,TE,25,2016,NFL,ATL,2,2,0,0,6.10,7.1,7.1,6.6,0,0,0,0,0,0,0,0,1,1,1,0,,,,
92,Ifeanyi Momah\MomaIf00,TE,26,2016,NFL,CRD,5,2,2,1,5.00,7.0,7.0,6.0,0,0,0,0,0,0,0,0,2,50,0,0,,,,
93,Nick Vannett\VannNi00,TE,23,2016,NFL,SEA,8,5,2,1,3.20,6.2,6.2,4.7,0,0,0,0,0,0,0,0,3,32,0,0,,,,
94,Brandon Williams\WillBr04,TE,28,2016,NFL,SEA,16,10,5,1,3.60,5.6,5.6,4.6,0,0,0,0,0,0,0,0,2,36,0,0,,,,
95,Clay Harbor\HarbCl00,TE,29,2016,NFL,TOT,15,10,5,0,1.90,4.9,4.9,3.4,0,0,0,0,0,0,0,0,3,19,0,0,,,,
96,Niles Paul\PaulNi00,TE,27,2016,NFL,WAS,8,4,3,1,2.70,4.7,4.7,3.7,0,0,0,0,0,0,0,0,2,27,0,0,,,,
97,Sean McGrath\McGrSe00,TE,28,2016,NFL,SDG,16,5,11,0,2.50,4.5,4.5,3.5,0,0,0,0,0,0,0,0,2,25,0,0,,,,
98,Logan Paulsen\PaulLo00,TE,29,2016,NFL,CHI,16,3,13,0,1.50,4.5,4.5,3.0,0,0,0,0,0,0,0,0,3,15,0,0,,,,
99,Ross Travis\TravRo00,TE,23,2016,NFL,KAN,6,3,3,0,1.50,4.5,4.5,3.0,0,0,0,0,0,0,0,0,3,15,0,0,,,,
100,Alex Ellis\ElliAl01,TE,23,2016,NFL,JAX,6,1,5,0,1.10,4.1,4.1,2.6,0,0,0,0,0,0,0,0,3,11,0,0,,,,
