,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Travis Kelce\KelcTr00,TE,29,2019,NFL,KAN,16,12,4,0,157.30,254.3,261.3,205.8,0,0,0,0,0,1,4,1,97,1229,5,1,,,,
2,George Kittle\KittGe00,TE,25,2019,NFL,SFO,14,12,2,0,137.50,222.5,231.5,180.0,0,0,0,0,0,5,22,0,85,1053,5,1,,,,
3,Darren Waller\WallDa01,TE,26,2019,NFL,RAI,16,7,9,0,131.00,221.0,237.0,176.0,0,0,0,0,0,2,5,0,90,1145,3,1,,,,
4,Zach Ertz\ErtzZa00,TE,28,2019,NFL,PHI,15,8,7,0,127.60,215.6,219.6,171.6,0,0,0,0,0,0,0,0,88,916,6,1,,,,
5,Mark Andrews\AndrMa00,TE,23,2019,NFL,RAV,15,13,2,0,143.20,207.2,214.2,175.2,0,0,0,0,0,0,0,0,64,852,10,2,,,,
6,Austin Hooper\HoopAu00,TE,24,2019,NFL,ATL,13,6,7,0,116.70,191.7,197.7,154.2,0,0,0,0,0,0,0,0,75,787,6,0,,,,
7,Jared Cook\CookJa02,TE,32,2019,NFL,NOR,14,11,3,0,124.50,167.5,167.5,146.0,0,0,0,0,0,0,0,0,43,705,9,0,,,,
8,Tyler Higbee\HigbTy00,TE,26,2019,NFL,RAM,15,8,7,0,91.40,160.4,172.4,125.9,0,0,0,0,0,0,0,0,69,734,3,0,,,,
9,Hunter Henry\HenrHu00,TE,24,2019,NFL,SDG,12,4,8,0,95.20,150.2,154.2,122.7,0,0,0,0,0,0,0,0,55,652,5,1,,,,
10,Dallas Goedert\GoedDa00,TE,24,2019,NFL,PHI,15,9,6,0,86.70,144.7,146.7,115.7,0,0,0,0,0,0,0,0,58,607,5,2,,,,
11,Jason Witten\WittJa00,TE,37,2019,NFL,DAL,16,8,8,0,76.90,139.9,140.9,108.4,0,0,0,0,0,0,0,0,63,529,4,1,,,,
12,Mike Gesicki\GesiMi00,TE,23,2019,NFL,MIA,16,5,11,0,85.00,136.0,137.0,110.5,0,0,0,0,0,0,0,0,51,570,5,1,,,,
13,Greg Olsen\OlseGr00,TE,34,2019,NFL,CAR,14,5,9,0,71.70,123.7,126.7,97.7,0,0,0,0,0,0,0,0,52,597,2,0,,,,
14,Kyle Rudolph\RudoKy00,TE,29,2019,NFL,MIN,16,10,6,0,74.70,113.7,113.7,94.2,0,0,0,0,0,0,0,0,39,367,6,0,,,,
15,Jack Doyle\DoylJa00,TE,29,2019,NFL,CLT,16,7,9,0,68.80,111.8,111.8,90.3,0,0,0,0,0,0,0,0,43,448,4,1,,,,
16,Noah Fant\FantNo00,TE,21,2019,NFL,DEN,16,7,9,0,71.00,111.0,118.0,91.0,0,0,0,0,0,3,-12,0,40,562,3,1,,,,
17,Darren Fells\FellDa01,TE,33,2019,NFL,HTX,16,10,6,0,76.10,110.1,110.1,93.1,0,0,0,0,0,0,0,0,34,341,7,0,,,,
18,Evan Engram\EngrEv00,TE,25,2019,NFL,NYG,8,2,6,0,65.40,109.4,115.4,87.4,0,0,0,0,0,3,7,0,44,467,3,0,,,,
19,Tyler Eifert\EifeTy00,TE,29,2019,NFL,CIN,16,2,14,0,63.60,106.6,106.6,85.1,0,0,0,0,0,0,0,0,43,436,3,0,,,,
20,Jonnu Smith\SmitJo01,TE,24,2019,NFL,OTI,16,9,7,0,69.70,104.7,104.7,87.2,0,0,0,0,0,4,78,0,35,439,3,0,,,,
21,Jimmy Graham\GrahJi00,TE,32,2019,NFL,GNB,16,13,3,0,62.70,100.7,100.7,81.7,0,0,0,0,0,0,0,0,38,447,3,1,,,,
22,Ryan Griffin\GrifRy00,TE,29,2019,NFL,NYJ,13,5,8,0,64.20,98.0,101.0,81.0,0,0,0,0,0,0,0,0,34,320,5,0,,,,
23,Jacob Hollister\HollJa03,TE,25,2019,NFL,SEA,11,7,4,0,52.90,93.9,93.9,73.4,0,0,0,0,0,0,0,0,41,349,3,0,,,,
24,Cameron Brate\BratCa00,TE,28,2019,NFL,TAM,16,7,9,0,55.10,91.1,91.1,73.1,0,0,0,0,0,0,0,0,36,311,4,0,,,,
25,Jordan Akins\AkinJo00,TE,27,2019,NFL,HTX,16,10,6,0,53.80,89.8,89.8,71.8,0,0,0,0,0,0,0,0,36,418,2,0,,,,
26,Gerald Everett\EverGe00,TE,25,2019,NFL,RAM,13,7,6,0,52.80,89.8,92.8,71.3,0,0,0,0,0,1,0,0,37,408,2,0,,,,
27,Eric Ebron\EbroEr00,TE,26,2019,NFL,CLT,11,6,5,0,55.50,86.5,86.5,71.0,0,0,0,0,0,0,0,0,31,375,3,0,,,,
28,Blake Jarwin\JarwBl00,TE,25,2019,NFL,DAL,16,8,8,0,54.50,85.5,85.5,70.0,0,0,0,0,0,0,0,0,31,365,3,1,,,,
29,O.J. Howard\HowaO.00,TE,24,2019,NFL,TAM,14,7,7,0,49.90,83.9,84.9,66.9,0,0,0,0,0,0,0,0,34,459,1,1,,,,
30,Vance McDonald\McDoVa00,TE,29,2019,NFL,PIT,14,7,7,0,45.50,83.5,83.5,64.5,0,0,0,0,0,1,2,0,38,273,3,1,,,,
31,T.J. Hockenson\HockTJ00,TE,22,2019,NFL,DET,12,3,8,1,48.70,80.7,83.7,64.7,0,0,0,0,0,0,0,0,32,367,2,0,,,,
32,Dawson Knox\KnoxDa00,TE,22,2019,NFL,BUF,15,10,5,0,51.70,79.7,79.7,65.7,0,0,0,0,0,1,9,0,28,388,2,0,,,,
33,Irv Smith Jr.\SmitIr01,TE,21,2019,NFL,MIN,16,10,6,0,43.20,79.1,79.1,61.1,0,0,0,0,0,0,0,0,36,311,2,1,,,,
34,Hayden Hurst\HursHa00,TE,26,2019,NFL,RAV,16,14,2,0,46.90,76.9,76.9,61.9,0,0,0,0,0,0,0,0,30,349,2,0,,,,
35,Kaden Smith\SmitKa00,TE,22,2019,NFL,NYG,9,2,7,0,44.80,75.8,75.8,60.3,0,0,0,0,0,0,0,0,31,268,3,2,,,,
36,Nick Boyle\BoylNi00,TE,26,2019,NFL,RAV,16,14,2,0,44.10,75.1,75.1,59.6,0,0,0,0,0,0,0,0,31,321,2,0,,,,
37,Will Dissly\DissWi00,TE,23,2019,NFL,SEA,6,5,1,0,50.90,73.9,73.9,62.4,0,0,0,0,0,1,7,0,23,262,4,1,,,,
38,Foster Moreau\MoreFo00,TE,22,2019,NFL,RAI,13,6,7,0,47.40,68.4,68.4,57.9,0,0,0,0,0,0,0,0,21,174,5,0,,,,
39,Josh Hill\HillJo02,TE,29,2019,NFL,NOR,16,13,3,0,40.80,65.6,65.6,53.1,0,0,0,0,0,0,0,0,25,226,3,0,,,,
40,C.J. Uzomah\UzomC.00,TE,26,2019,NFL,CIN,16,2,14,0,36.20,63.2,63.2,49.7,0,0,0,0,0,0,0,0,27,242,2,0,,,,
41,Ricky Seals-Jones\SealRi00,TE,24,2019,NFL,CLE,14,5,9,0,44.90,58.9,59.9,51.9,0,0,0,0,0,0,0,0,14,229,4,1,,,,
42,Jeremy Sprinkle\SpriJe00,TE,25,2019,NFL,WAS,16,3,13,0,30.10,56.1,56.1,43.1,0,0,0,0,0,0,0,0,26,241,1,1,,,,
43,Delanie Walker\WalkHu00,TE,35,2019,NFL,OTI,7,3,4,0,33.50,54.5,54.5,44.0,0,0,0,0,0,0,0,0,21,215,2,1,,,,
44,Demetrius Harris\HarrDe03,TE,28,2019,NFL,CLE,15,5,10,0,32.90,49.9,49.9,42.4,0,0,0,0,0,0,0,0,15,149,3,0,,,,
45,Charles Clay\ClayCh00,TE,30,2019,NFL,CRD,15,5,9,1,29.70,47.7,47.7,38.7,0,0,0,0,0,0,0,0,18,237,1,0,,,,
46,James O'Shaughnessy\O'ShJa00,TE,27,2019,NFL,JAX,5,2,3,0,27.30,41.3,41.3,34.3,0,0,0,0,0,0,0,0,14,153,2,0,,,,
47,Maxx Williams\WillMa04,TE,25,2019,NFL,CRD,16,5,10,1,26.20,41.2,41.2,33.7,0,0,0,0,0,0,0,0,15,202,1,0,,,,
48,Rhett Ellison\ElliRh00,TE,30,2019,NFL,NYG,10,2,8,0,22.80,40.7,40.7,31.7,0,0,0,0,0,0,0,0,18,167,1,0,,,,
49,Anthony Firkser\FirkAn00,TE,24,2019,NFL,OTI,15,8,7,0,26.40,40.4,40.4,33.4,0,0,0,0,0,0,0,0,14,204,1,0,,,,
50,Logan Thomas\ThomLo00,TE,28,2019,NFL,DET,16,3,12,1,23.30,39.3,39.3,31.3,0,0,0,0,0,0,0,0,16,173,1,0,,,,
51,Marcedes Lewis\LewiMa00,TE,35,2019,NFL,GNB,16,13,3,0,21.60,36.6,36.6,29.1,0,0,0,0,0,0,0,0,15,156,1,0,,,,
52,Ross Dwelley\DwelRo00,TE,24,2019,NFL,SFO,16,13,3,0,21.40,36.1,36.1,28.6,0,0,0,0,0,0,0,0,15,91,2,0,,,,
