,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Todd Gurley\GurlTo01,RB,23,2017,NFL,RAM,15,11,4,0,319.30,383.3,406.3,351.3,0,0,0,0,0,279,1305,13,64,788,6,5,,,,
2,Le'Veon Bell\BellLe00,RB,25,2017,NFL,PIT,15,12,3,0,256.60,341.6,358.6,299.1,0,0,0,0,0,321,1291,9,85,655,2,3,,,,
3,Alvin Kamara\KamaAl00,RB,22,2017,NFL,NOR,16,11,5,0,239.40,320.4,327.4,279.9,0,0,0,0,0,120,728,8,81,826,5,1,,,,
4,Kareem Hunt\HuntKa00,RB,22,2017,NFL,KAN,16,10,6,0,242.20,295.2,314.2,268.7,0,0,0,0,0,272,1327,8,53,455,3,1,,,,
5,Melvin Gordon\GordMe00,RB,24,2017,NFL,SDG,16,9,7,0,230.10,288.1,294.1,259.1,0,0,0,0,0,284,1105,8,58,476,4,1,,,,
6,Mark Ingram\IngrMa01,RB,27,2017,NFL,NOR,16,11,5,0,220.00,278.0,293.0,249.0,0,0,0,0,0,230,1124,12,58,416,0,3,,,,
7,LeSean McCoy\McCoLe01,RB,29,2017,NFL,BUF,16,9,7,0,204.60,263.6,276.6,234.1,0,0,0,0,0,287,1138,6,59,448,2,3,,,,
8,Carlos Hyde\HydeCa00,RB,26,2017,NFL,SFO,16,6,10,0,174.80,233.8,237.8,204.3,0,0,0,0,0,240,938,8,59,350,0,2,,,,
9,Leonard Fournette\FourLe00,RB,22,2017,NFL,JAX,13,7,6,0,194.20,230.2,245.2,212.2,0,0,0,0,0,268,1040,9,36,302,1,2,,,,
10,Christian McCaffrey\McCaCh01,RB,21,2017,NFL,CAR,16,11,5,0,148.60,228.6,232.6,188.6,0,0,0,0,0,117,435,2,80,651,5,2,,,,
11,Duke Johnson\JohnDu00,RB,23,2017,NFL,CLE,16,0,16,0,142.10,216.1,218.1,179.1,0,0,0,0,0,82,348,4,74,693,3,4,,,,
12,Ezekiel Elliott\ElliEz00,RB,22,2017,NFL,DAL,10,6,4,0,177.20,203.2,219.2,190.2,0,0,0,0,0,242,983,7,26,269,2,1,,,,
13,Dion Lewis\LewiDi00,RB,26,2017,NFL,NWE,16,13,3,0,171.00,203.0,209.0,187.0,0,0,0,0,0,180,896,6,32,214,3,0,,,,
14,Devonta Freeman\FreeDe00,RB,25,2017,NFL,ATL,14,8,6,0,164.20,200.2,207.2,182.2,0,0,0,0,0,196,865,7,36,317,1,4,,,,
15,Jordan Howard\HowaJo00,RB,22,2017,NFL,CHI,16,5,11,0,176.70,199.7,215.7,188.2,0,0,0,0,0,276,1122,9,23,125,0,1,,,,
16,Lamar Miller\MillLa01,RB,26,2017,NFL,HTX,16,4,12,0,157.50,193.5,193.5,175.5,0,0,0,0,0,238,888,3,36,327,3,1,,,,
17,Jerick McKinnon\McKiJe00,RB,25,2017,NFL,MIN,16,13,3,0,127.10,178.1,183.1,152.6,0,0,0,0,0,150,570,3,51,421,2,3,,,,
18,C.J. Anderson\AndeC.00,RB,26,2017,NFL,DEN,16,5,11,0,147.10,175.1,182.1,161.1,0,0,0,0,0,245,1007,3,28,224,1,1,,,,
19,Frank Gore\GoreFr00,RB,34,2017,NFL,CLT,16,4,12,0,144.60,173.6,179.6,159.1,0,0,0,0,0,261,961,3,29,245,1,3,,,,
20,DeMarco Murray\MurrDe00,RB,29,2017,NFL,OTI,15,8,7,0,132.50,171.5,175.5,152.0,0,0,0,0,0,184,659,6,39,266,1,1,,,,
21,Alex Collins\CollAl00,RB,23,2017,NFL,RAV,15,8,7,0,148.00,171.0,179.0,159.5,0,0,0,0,0,212,973,6,23,187,0,4,,,,
22,Tevin Coleman\ColeTe01,RB,24,2017,NFL,ATL,15,9,6,0,140.70,167.7,167.7,154.2,0,0,0,0,0,156,628,5,27,299,3,1,,,,
23,Javorius Allen\AlleJa01,RB,26,2017,NFL,RAV,16,9,7,0,120.10,166.1,166.1,143.1,0,0,0,0,0,153,591,4,46,250,2,0,,,,
24,Marshawn Lynch\LyncMa00,RB,31,2017,NFL,RAI,15,6,9,0,144.20,164.2,171.2,154.2,0,0,0,0,0,207,891,7,20,151,0,1,,,,
25,Latavius Murray\MurrLa00,RB,27,2017,NFL,MIN,16,13,3,0,142.50,157.5,163.5,150.0,0,0,0,0,0,216,842,8,15,103,0,1,,,,
26,Theo Riddick\RiddTh00,RB,26,2017,NFL,DET,16,9,7,0,101.00,154.0,155.0,127.5,0,0,0,0,0,84,286,3,53,444,2,1,,,,
27,Giovani Bernard\BernGi00,HB,25,2017,NFL,CIN,16,7,9,0,109.30,151.7,154.7,130.2,0,0,0,0,0,105,458,2,43,389,2,0,,,,
28,Chris Thompson\ThomCh03,RB,26,2017,NFL,WAS,10,4,6,0,112.40,151.4,159.4,131.9,0,0,0,0,0,64,294,2,39,510,4,3,,,,
29,Tarik Cohen\CoheTa00,RB,22,2017,NFL,CHI,16,5,11,0,97.44,150.1,152.1,123.6,1,2,21,1,0,87,370,2,53,353,1,3,,,,
30,Bilal Powell\PoweBi00,RB,28,2017,NFL,NYJ,15,5,10,0,122.20,145.2,152.2,133.7,0,0,0,0,0,178,772,5,23,170,0,1,,,,
31,Isaiah Crowell\CrowIs00,RB,24,2017,NFL,CLE,16,0,16,0,115.50,143.5,147.5,129.5,0,0,0,0,0,206,853,2,28,182,0,1,,,,
32,Jamaal Williams\WillJa06,RB,22,2017,NFL,GNB,16,7,9,0,117.80,142.8,145.8,130.3,0,0,0,0,0,153,556,4,25,262,2,0,,,,
33,Kenyan Drake\DrakKe00,RB,23,2017,NFL,MIA,16,6,10,0,110.60,142.3,150.3,126.3,0,0,0,0,0,133,644,3,32,239,1,2,,,,
34,Joe Mixon\MixoJo00,HB,21,2017,NFL,CIN,14,7,7,0,111.30,141.3,146.3,126.3,0,0,0,0,0,178,626,4,30,287,0,3,,,,
35,Orleans Darkwa\DarkOr00,RB,25,2017,NFL,NYG,15,3,12,0,118.70,137.7,143.7,128.2,0,0,0,0,0,171,751,5,19,116,0,1,,,,
36,Jay Ajayi\AjayJa00,RB,24,2017,NFL,TOT,14,10,4,0,111.10,135.1,143.1,123.1,0,0,0,0,0,208,873,1,24,158,1,3,,,,
