,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
36,Josh Hill\HillJo02,TE,24,2014,NFL,NOR,16,7,9,0,47.70,61.6,61.6,54.6,0,0,0,0,0,0,0,0,14,176,5,0,,,,
37,Clay Harbor\HarbCl00,TE,27,2014,NFL,JAX,13,3,10,0,34.90,60.9,60.9,47.9,0,0,0,0,0,0,0,0,26,289,1,0,,,,
38,Kyle Rudolph\RudoKy00,TE,24,2014,NFL,MIN,9,4,5,0,35.10,59.1,59.1,47.1,0,0,0,0,0,0,0,0,24,231,2,1,,,,
39,Daniel Fells\FellDa00,TE,30,2014,NFL,NYG,16,6,10,0,40.80,56.8,57.8,48.8,0,0,0,0,0,0,0,0,16,188,4,1,,,,
40,Eric Ebron\EbroEr00,TE,21,2014,NFL,DET,13,8,5,0,30.80,55.8,55.8,43.3,0,0,0,0,0,0,0,0,25,248,1,0,,,,
41,Chase Ford\FordCh00,TE,24,2014,NFL,MIN,11,4,7,0,31.80,54.8,54.8,43.3,0,0,0,0,0,0,0,0,23,258,1,0,,,,
42,Richard Rodgers\RodgRi00,TE,22,2014,,GNB,16,12,4,0,34.50,54.5,54.5,44.5,0,0,0,0,0,0,0,0,20,225,2,0,,,,
43,Austin Seferian-Jenkins\SefeAu00,TE,21,2014,NFL,TAM,9,2,7,0,32.10,53.1,54.1,42.6,0,0,0,0,0,0,0,0,21,221,2,1,,,,
44,Marcedes Lewis\LewiMa00,TE,30,2014,NFL,JAX,8,2,6,0,33.10,50.6,50.6,41.6,0,0,0,0,0,0,0,0,18,206,2,0,,,,
45,Rhett Ellison\ElliRh00,TE,25,2014,NFL,MIN,16,7,9,0,28.80,47.8,47.8,38.3,0,0,0,0,0,0,0,0,19,208,1,0,,,,
46,Jim Dray\DrayJi00,TE,27,2014,NFL,CLE,16,7,9,0,30.20,47.2,47.2,38.7,0,0,0,0,0,0,0,0,17,242,1,0,,,,
47,Ben Watson\WatsBe00,TE,33,2014,NFL,NOR,16,7,9,0,25.60,45.6,45.6,35.6,0,0,0,0,0,0,0,0,20,136,2,0,,,,
48,Garrett Graham\GrahGa00,TE,28,2014,NFL,HTX,11,5,6,0,25.70,43.7,43.7,34.7,0,0,0,0,0,0,0,0,18,197,1,0,,,,
