,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Le'Veon Bell\BellLe00,RB,22,2014,NFL,PIT,16,11,5,0,287.50,370.5,385.5,329.0,0,0,0,0,0,290,1361,8,83,854,3,0,,,,
2,DeMarco Murray\MurrDe00,RB,26,2014,NFL,DAL,16,12,4,0,294.10,351.1,392.1,322.6,0,0,0,0,0,392,1845,13,57,416,0,5,,,,
3,Matt Forte\FortMa00,RB,28,2014,NFL,CHI,16,5,11,0,244.60,346.6,360.6,295.6,0,0,0,0,0,266,1038,6,102,808,4,2,,,,
4,Marshawn Lynch\LyncMa00,RB,28,2014,NFL,SEA,16,12,4,0,265.30,302.3,319.3,283.8,0,0,0,0,0,280,1306,13,37,367,4,3,,,,
5,Arian Foster\FostAr00,RB,28,2014,NFL,HTX,13,8,5,0,235.50,273.5,296.5,254.5,1,1,5,1,0,260,1246,8,38,327,5,2,,,,
6,Eddie Lacy\LacyEd00,RB,24,2014,NFL,GNB,16,12,4,0,230.60,272.6,286.6,251.6,0,0,0,0,0,246,1139,9,42,427,4,3,,,,
7,Jamaal Charles\CharJa00,RB,27,2014,NFL,KAN,15,8,7,0,210.40,250.4,256.4,230.4,0,0,0,0,0,206,1033,9,40,291,5,5,,,,
8,Justin Forsett\ForsJu00,RB,28,2014,NFL,RAV,16,10,6,0,202.90,246.9,261.9,224.9,0,0,0,0,0,235,1266,8,44,263,0,1,,,,
9,Lamar Miller\MillLa01,RB,23,2014,NFL,MIA,16,8,8,0,185.40,223.4,232.4,204.4,0,0,0,0,0,216,1099,8,38,275,1,3,,,,
10,C.J. Anderson\AndeC.00,RB,23,2014,NFL,DEN,15,11,4,0,177.50,211.3,217.3,194.3,0,0,0,0,0,179,849,8,34,324,2,1,,,,
11,Jeremy Hill\HillJe01,RB,21,2014,NFL,CIN,16,10,5,1,183.90,210.9,227.9,197.4,0,0,0,0,0,222,1124,9,27,215,0,5,,,,
12,LeSean McCoy\McCoLe01,RB,26,2014,NFL,PHI,16,10,6,0,171.40,199.4,214.4,185.4,0,0,0,0,0,312,1319,5,28,155,0,4,,,,
13,Joique Bell\BellJo01,RB,28,2014,NFL,DET,15,11,4,0,164.20,198.2,199.2,181.2,0,0,0,0,0,223,860,7,34,322,1,5,,,,
14,Matt Asiata\AsiaMa00,RB,27,2014,NFL,MIN,15,7,8,0,150.20,194.2,195.2,172.2,0,0,0,0,0,164,570,9,44,312,1,1,,,,
15,Mark Ingram\IngrMa01,RB,24,2014,NFL,NOR,13,5,8,0,162.90,191.9,204.9,177.4,0,0,0,0,0,226,964,9,29,145,0,3,,,,
16,Fred Jackson\JackFr02,RB,33,2014,NFL,BUF,14,8,6,0,122.60,188.6,188.6,155.6,0,1,0,0,0,141,525,2,66,501,1,5,,,,
17,Giovani Bernard\BernGi00,RB,22,2014,NFL,CIN,13,8,4,1,144.90,187.9,190.9,166.4,0,0,0,0,0,168,680,5,43,349,2,0,,,,
18,Alfred Morris\MorrAl00,RB,25,2014,NFL,WAS,16,4,12,0,170.90,187.9,190.9,179.4,0,0,0,0,0,265,1074,8,17,155,0,2,,,,
19,Andre Ellington\ElliAn00,RB,25,2014,NFL,CRD,12,9,3,0,131.50,177.5,182.5,154.5,0,0,0,0,0,201,660,3,46,395,2,2,,,,
20,Shane Vereen\VereSh00,RB,25,2014,NFL,NWE,16,12,4,0,113.80,165.8,165.8,139.8,0,0,0,0,0,96,391,2,52,447,3,0,,,,
