,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
1,Demaryius Thomas\ThomDe03,WR,25,2013,NFL,DEN,16,13,3,0,227.00,319.0,337.0,273.0,0,0,0,0,0,0,0,0,92,1430,14,1,,,,
2,Antonio Brown\BrowAn04,WR,25,2013,NFL,PIT,16,8,8,0,204.90,314.9,329.9,259.9,1,1,15,0,0,7,4,0,110,1499,8,1,,,,
3,Josh Gordon\GordJo02,WR,22,2013,NFL,CLE,14,4,10,0,227.40,314.4,335.4,270.9,0,0,0,0,0,5,88,0,87,1646,9,0,,,,
4,A.J. Green\GreeA.00,WR,25,2013,NFL,CIN,16,11,5,0,208.60,306.6,324.6,257.6,0,0,0,0,0,0,0,0,98,1426,11,1,,,,
5,Brandon Marshall\MarsBr00,WR,29,2013,NFL,CHI,16,8,8,0,205.50,305.5,323.5,255.5,0,0,0,0,0,0,0,0,100,1295,12,0,,,,
6,Calvin Johnson\JohnCa00,WR,27,2013,NFL,DET,14,7,7,0,219.20,303.2,325.2,261.2,0,0,0,0,0,0,0,0,84,1492,12,1,,,,
7,Dez Bryant\BryaDe01,WR,24,2013,NFL,DAL,16,8,8,0,199.40,292.4,305.4,245.9,0,0,0,0,0,1,1,0,93,1233,13,3,,,,
8,Alshon Jeffery\JeffAl00,WR,23,2013,NFL,CHI,16,8,8,0,194.60,283.6,299.6,239.1,0,0,0,0,0,16,105,0,89,1421,7,3,,,,
9,Eric Decker\DeckEr00,WR,26,2013,NFL,DEN,16,13,3,0,192.80,279.8,295.8,236.3,0,0,0,0,0,0,0,0,87,1288,11,2,,,,
10,Andre Johnson\JohnAn02,WR,32,2013,NFL,HTX,16,2,14,0,170.70,279.7,297.7,225.2,0,0,0,0,0,0,0,0,109,1407,5,0,,,,
11,Pierre Garcon\GarcPi00,WR,27,2013,NFL,WAS,16,3,13,0,164.50,277.5,293.5,221.0,0,0,0,0,0,2,19,0,113,1346,5,1,,,,
12,DeSean Jackson\JackDe00,WR,26,2013,NFL,PHI,16,10,6,0,187.40,269.4,284.4,228.4,0,0,0,0,0,3,2,0,82,1332,9,1,,,,
